District,x1,y1,x3,y3,Date,Raw_Text
Burdwan,1976.0,1376.0,3976.0,2056.0,1911-07-05,rainfall at katwa nil at raniganj c-88 and at kalna 1.09 inolies. nf paddy seedlings going on but more rain wanted. weeding and thinning of jute oontinuing. no cattle-disense stocke of food grains fodder and diiuking water suffioient. common rou selling at 11}  r rupee at kalua at 134 se at katwa and at 11 beers at asausol. weather hot. tiansplantation
Birbhum,1992.0,2008.0,3992.0,2456.0,1911-07-05,rainfall at hot and oloudy at intervals. fodder rampurhat (.34 inoh. weather ant water suffioient laddy seedliugs nct yet ready for trans- plantation rupee at rampurlhat. ommon rice bcllug at 13 ers per
Bankura,1968.0,2456.0,3968.0,2912.0,1911-07-05,woather very rainfall at vishnupur 104 inches. hot rain badly wanted for transplantation of pa ddy. fodder and water sulhoient. no cattle- diease. conmmun rice selling ut 13 see r rupee at vishnupur.
Midnapore,2008.0,2888.0,4008.0,3528.0,1911-07-05,rninfall at contai 0-97 at tamluk 7-46 and at ghatal 1-33 inches weather seasonable. trans- plantation of winier rice oummenced n all places. cattle-d:sease reported from contai bhagawanpur ramnagar thanas. fodder aud water rioe sulling at 14 seers per rupee at contui at 12 seers at tamluk and at 12 seers at ghatal. henria gopiballuvpur and keshpur common sufnolent
Hooghly,2000.0,3464.0,4000.0,3896.0,1911-07-05,rainfall ut serampore c08 and at araubagh 062 inch. lands being ploughed for oultvation of aman paddy. no oattle-disease. stooks of food-grains fodder and water sutficient. weuther hot. laddy sowing hegun.
Howrah,2016.0,3896.0,4016.0,4408.0,1911-07-05,rainfall at ulubaria 0-51 inch. weather hot sky cloudy. more rain wanted. prospects of standing crops and vegetables good. stooks of food-grains fodder and water suftioient. prospeots of jute fair. common rice selling at 11 seers per rupee at uluburia.
24 Parganas,2040.0,4408.0,4040.0,4952.0,1911-07-05,at diamond harbour 2:72 at basirbat 0:26 inches and at barraokpore and burasut nil. weather seasonable. sowing of seodlings of winter rioe in cattle progross. (onditiou of good. fodder und water sufticient common rioe solling at 10 seers par rupee at barasat at 1l seers at barraokpore and and at seers at diamond harbour.
Nadia,2040.0,4952.0,4040.0,5816.0,1911-07-05,at kushtia 2:94 at ranaghat 046 at inch. ans paddy and jute oontinuing. meberpur 4:09 and at ohuadanga 0-94 woeding of transplantation of aman paddy oontinuing in the ranaghat and meherpur subdivisions. prospects of standing orops good. stooks of food-grains fodder and water suttioient uommon rice selling at 11 seers per rupee at kuahtis and bauagbat at 10h sees at meherpur and at 10 seers at ohuadange. no oettle-disese rted.
Murshidabad,1912.0,952.0,3912.0,1816.0,1911-07-05,railfull at lalbagh 0 18 at jangipur 2 13 inches and at kand nil railway embunkment oonstruotion practioully sus- pended through recent fluods standing o1ups by rain in raninegar and daulata- bad thanas in saktpur and raninagar thanas and fodder also insutficient in raninagur thona only. oommon rice seliing at il seurs per rupee at lalbagh at 12 seers at jangipur and at 12} seers at kandi. weuther sultry. labour on damage roported to agrioultural stook reported insufficiont
Jessore,1976.0,1768.0,3976.0,2424.0,1911-07-05,ranfal at jhenidah 165 at magura 475 at narail l10 and at baugaon 0-53 iuch. beabonable. stooks of fod-graius fodder and wuter suffioient. oattle-disease reported from harinakuuda of agrioultural stook nd. cmmon rioe selling at 12 seers per rupt at jheni iah at 11} seers at magura at 11 seers at naruil aud buugaon. wrather prospects of standing orops good. oondi-
