District,x1,y1,x3,y3,Date,Raw_Text
24-Parganas,2128.0,2120.0,4128.0,2896.0,1913-11-26,weather seasonuble. winter paddy are fair. there is no larg import or export. sn tficient. condition of cattle is good. the prospects a foddor and wate
Nadia,2152.0,2600.0,4152.0,3608.0,1913-11-26,wenther seasonable. prospects of stanc ing crops are good. sowing of rai crops is procooding. harvesting of eurl aman paddy has commenced. stock8 ( food-grains suflicient. from ranaghat and danlatpara thanas. und witer cuttle-di is reporte
Murshidabad,2168.0,3624.0,4168.0,4056.0,1913-11-26,weather seasonable. condition of stan ing crops fair. oattle-discuse is reporte ifrom mirzapur police-station (jungipar)
Jessore,2168.0,4112.0,4168.0,5264.0,1913-11-26,weather seasonable. done good to the standing crops and h facilituted the agricultural operatior rice in being imported into nuruil an magura. stocks of food-grains fodd and water are sufficient. condition ugricultural stock is fair. no catt. disease is reported. the recent rain h
Khulna,2176.0,5264.0,4176.0,5968.0,1913-11-26,sowing of ro weather seasonable. crops and harvesting of early winter r continuing. prospects of winter r and rabi crops are good. fodder a wilter aro stutlicient. rinderpost repo ed from bagerhat and paikgucha thana
Burdwan,1968.0,992.0,3968.0,1768.0,1913-11-26,woather seasonable. sowing of rabi crops and harventing of early winter rice is going on. und water are suflicient. cattle-diseuse in reported from the raniganj thana. export of rice  rted from katwa. stocks of food-grains fodder
Birbhum,2008.0,1800.0,4008.0,2368.0,1913-11-26,weather sensonable. fodder and wuter suficient. gram and wheat cultivation | is going on. no cattle-disouxe is reported.
Bankura,2096.0,2400.0,4096.0,3120.0,1913-11-26,. sowing of rabi crops weather soanonable. is continuing. standing crops are doing well. harvesting of winter paddy has commenced. fodder and water are suffi- cient.
Midnapore,2064.0,3248.0,4064.0,4456.0,1913-11-26,wenther seusonable. prospects of winter rice are good in ghatal but not very hopeful in contai. rice has commencod in places. some damage bas peen done to ripe paddy in contai pingla and sabong thanas by ruinfall. foddor and water are suflicient pt in contai whore there is u -dlearth of fodder. no cattle-diseuse is reported. agriculturul loann nsued during the week amount to rs. 6802. harvesting of winter
Hooghly,2008.0,4448.0,4008.0,5224.0,1913-11-26,! wenthor cold. harvesting of winter rice has conuenced; ontturn is good. the price of rice has fallen slightly every- where. no cuttle-dineune. water are suflicient. rupees 130 were giveu in agriculturai loans to six perhona in the arambagh subdivision. fodder and
