District,x1,y1,x3,y3,Date,Raw_Text
Burdwan,1905.0,1500.0,3755.0,1855.0,1910-08-17,orops benefited by tho reoent ruinfall. har- no cattle-diseaso stocks transplantation going on. prospects goud. vesting of jute going on. of food-grains fodder and drinking water sufficient.
Birbhum,1855.0,1815.0,3705.0,2125.0,1910-08-17,weather hot aud cloudy. rainfall at rampurhat 1.27 inohos. mure rain transplantation oontinuing. fodder and water suffioient. no cattle-diseaso. wanted for high lands.
Bankura,1870.0,2115.0,3720.0,2360.0,1910-08-17,weather hot and generally cloudy. vishnupur 2-80 inohes. more rain wanted. trans- plantation going on. rainfall at fodder aud water sufioient.
Midnapore,1870.0,2360.0,3720.0,3130.0,1910-08-17,weather seasopable. tamluk l68 and at ghatal 2-87 inohes. rainfall favourable fer cultivation except in oomparativoly small tracts where it is still insufficient. tution of wiuter rico going on rapidly. prospects of jute and sugaroane good. cattlo-disease in thanas sadar henria keshpur and dantan. fodder and water sufficient common rioe selling at 14 seers por rupee at contai at 11 secrs ut tamluk and at seers at ghatal. rainfall at contai 165 at transplan-
Hooghly,1870.0,3100.0,3720.0,3550.0,1910-08-17,weathor hot. stocks of food-grains sufficient. and aus paddy doing well. prospoots of juto fair. transplantation of winter paddy delayod for want of rain. suffioient. prices of food-grains stationary. jute sugarcane no cattle-disease. fodder and water
Howrah,1890.0,3545.0,3740.0,4075.0,1910-08-17,rainfall at uluberia 3-73 inolies. rainfall sufficiont during the week. progressing. sugurcane fair. stocks of food-grains fodder and water suffioient. rinderpost reported from villages baksara and batour in the beginning of the week but has since transplantation of paddy prospects of jute aus paddy and
24 Parganas,1885.0,4070.0,3735.0,4770.0,1910-08-17,cxoept in barrack- pore and the sundorbans w boro more rain is wanted. transplantation of aman paddy nenring oompletion. harvesting of jute continuing in the busirbat and barrackpore subdivisions. standing crops doing well. cattle-disoaso still prevailing in thanas kak- dip and mathurapur. common rice selling at 11 seers per rupee at barasat at 13 seers at diamond ilarbour at 10} seers at busirhat and at 10 seers at
Nadia,1905.0,4760.0,3755.0,5735.0,1910-08-17,rainfall at kushtia 4:44 at meherpur 2:58 at ranaghnt 260 and at chuadunga 3:81 inches. lrospeots of standing crops good. llarvesting of aus paddy oontinuing in the chuadanga subdivision aud has oommenoed at places in the meherpur sub- division. damages to autumn rioo reported from the kushtia and ranaghat subdivisions transplan- tation of amun paddy almost finishod in the ranaghat subdivision. damages to juta by insvots reported from thanas kushtia moberpur and chuadanga. lrices of staple food-grains alnost slalionary. stooka of food-grains fodder and water surhoont cattle-disease reported. no
Murshidabad,1785.0,1130.0,3635.0,1640.0,1910-08-17,wcather warm and elondy. rainfall at lolbagh 1-69 at. jangipur 0:92 and at kandi 2:26 inohes. trans- plantation going on. extent by floods in the diarra luuds. other standing oropa doing woll. more rain wanted. aus paddy damaged to some jute and
Jessore,1760.0,1640.0,3610.0,2210.0,1910-08-17,rainfall at jhoniduh 2:47 at narail 195 and at bongaon 766 inches. rainfall general. ilarvosting of uus oommenced in places condition of jute favourable. stooks of food-grains fodder and water suffioient. cattlo-discase reported from koteoliaudpur. condi- tion agrioultural stock good. price of common rios at sadar. puddy and jute
Khulna,1805.0,2210.0,3655.0,2485.0,1910-08-17,weather rainfall at bagerhat 4:49 and at satklhra 472 inches. transplantation of winter rco continuing. moro ruin urgently wanted. pros. of and
Patna,1770.0,2485.0,3620.0,2860.0,1910-08-17,| weathor hot und cloudy. transplantation of paddy in progrosi condition of agrionltural stock good. foddor and water for oattle sufficient. cattle-disease roportod from thaua standing orops doing woll.
Gaya,1770.0,2830.0,3620.0,3360.0,1910-08-17,weathor eloudy and rainy. rainfall henvy gon eral and bonoficial to paddy in most places but has vaused floods and damago in parts of the jahanabad and auraugabal subdivisions. sugurcano and bhadoi crops doing well. full swing. fondder und water for cattle plontiful. no vattlo-discase. transplantation of paddy in
Shahabad,1765.0,3365.0,3615.0,3845.0,1910-08-17,at sasaram 6:95 inchos. sugarcano and bhadui crops doing woll. transplantation of paddy in progross. the ruin of the week benofivial to tho paddy crop. priees of food-grains rising slightly. food-stouks norinal. fodder and water suftivieut. agricultural stooks in condition.
