District,x1,y1,x3,y3,Date,Raw_Text
Burdwan,2152.0,1536.0,4040.0,1984.0,1910-04-13,weather hot.. sky eloudy at night. for ploughing of lands. cattlo-disease reported from kengaou thana. and water sufficient. rain wapted stocks . of food-grains fodder
Birbhum,2064.0,1984.0,4256.0,2400.0,1910-04-13,weather hot and .dry. fodder and water suffioient. manure being gathered. no oattle-disease.
Bankura,2112.0,2504.0,4296.0,3088.0,1910-04-13,weather hot. lands being ploughed and manurod for planting. sugarcane. no cattle-disease. fodder and water sulioient. fair. 81 condition of agrioultural stook
Midnapore,2120.0,3008.0,4424.0,3792.0,1910-04-13,planting of bugarcane going on. prospeots of summer rice good i the ghatal subdivision; that of tobacc0 and late oottou fair. mustard reported 66 per cent. in contai and 75 pe2 nent. in tamluk. fodder and water sutficient. comtuon rioe selling at 15 soers a rupee at contai at 11 seers at tamluk and at 12 seere at ghatal. outturn of liaseed repe and cattle-disease in thana salboni.
Hooghly,2152.0,3800.0,4320.0,4296.0,1910-04-13,weather serbolable. stationary. manuring df ields going on. cattle-disease. prioe of foodegrains almost sufficient. food-graids kai wantod. no sooks of fodder and water suffioient.
Howrah,2160.0,4328.0,3424.0,4624.0,1910-04-13,report not received.
24 Parganas,2128.0,4808.0,4256.0,5256.0,1910-04-13,swing of paddy on low landa common weather seasonable. conmeuced in the busir hat subdivision. rioe selling at 11 seers per rupee at barasat at 13 s at busirhat ut 12  at 13arraokpore and at 13 seers at idunond hariour.
Nadia,2144.0,5360.0,4304.0,5720.0,1910-04-13,preparation of prioes almoost. harvesting of rai crops finishod lands for bhadoi orops continuing. stationary. stooks of food-grains fodder and water suficient. no cattle-disoase.
Murshidabad,2160.0,1288.0,4152.0,1744.0,1910-04-13,weather seasokable. .rain badly wanted for til mulberry and sugarcane and for preparation of lands for the next seasons orops. sowing of bhadvi paddy oommenoed iu the jangipur subdivision. harveeting of rabi orops almost finished. stooks of food-grains fodder and sufficiont.
Jessore,2120.0,1848.0,4112.0,2256.0,1910-04-13,weather very hot. . vation. sufficient. tural stook good. rain urgently wanted for oulti- stooks of food-grains fodder and water no cattle-disease. condition of agrioul-
Khulna,2168.0,2336.0,4200.0,2664.0,1910-04-13,weather seasonable. ploughing of lands for sowing of jute oontinuing but progress retarded for want of rain. prospeots of standing crops good.
Patna,2200.0,2768.0,4128.0,3136.0,1910-04-13,weather hot. hervesting of rubi orops not yet condition of agrioultural stook good. completed. fodder end water for cattle sufficient. cattle-disease repord from nawbatpur thana.
Gaya,2120.0,3152.0,4120.0,3688.0,1910-04-13,w eather hot. of sugarcane continuing. stationary. harvesting of rabi orops and planting makai not sold. prices cattle-disease reported from villages in the jehanabad and urangabad subdivi- fodder and water for cattle suffioient. some bions.
Shahabad,2096.0,3632.0,4208.0,4112.0,1910-04-13,| planting ontinuing. harvesting of orops nearing and of food-graius food-stooks normal. fodder and water euffioient. completion. sowing of oheena stationary. rabi of sugaroane prices condition of agrioultural stook normal.
Saran,2136.0,4232.0,4048.0,4640.0,1910-04-13,weather seasonable. threshing of rabi crops going prices of staple food- water suffioient. bugaronne doing wek. orops stutionary. agricultural stook in good condition. no oattle- disease. on. fodder and
Champaran,2136.0,4672.0,4152.0,5000.0,1910-04-13,weather hot. fields being prepared for next seasons . disease. oondition of agricultural stook good. fodder and water sutfioient. no oattle-
Muzaffarpur,2120.0,5040.0,4104.0,5648.0,1910-04-13,prospeots of standing orops of rabi orops in progres. weatber soasonable. good. ommop rioe and makai lling at 14} and 22 sers a rupee respectivery at sitamarhi and 14 and 164 seers respeotively at hajipur. fodder water and food-stooks bufficient. no cattle-disease. harvesting
Darbhanga,2144.0,1152.0,4192.0,1752.0,1910-04-13,weather sona8onuble. prospeots of atanding rabi crops good. harvesting of rubi orops still in progress. mung end paddy sown in places the sadar and .samastipur rubdivisions. food-stooks fodder and water oommon rice (averago quality) solling at 13 eeers a ripee at sadar. rupee in bazar. sufioient. no cuttle-disease orted. akai seling at 19}# s
