District,x1,y1,x3,y3,Date,Raw_Text
Burdwan,2024.0,1400.0,4024.0,2160.0,1911-08-30,rainfall at kalna 168 and at raniganj l-67 inohen. weather hot. transplantation retarded for want of further 1ain.  more rain sugurcane good. steeping of jute going on. no outtle-diselae drinking water suffioient. 10 seers per rupee at kalna and at 10% seer+ at asansol. needed. condition of stooks of food-grains fodder and common rioe seiling at
Birbhum,2056.0,2224.0,4056.0,2608.0,1911-08-30,rainfall at rampurhat 2-38 inohes. oloudy at intervals. trunsplantation still oontinu- ing. fodder an:: water sutioient. nu cattle-disease. common rice selling at 12 seers a rupee at rampur- hat. weather hot and
Bankura,2048.0,2632.0,4048.0,2968.0,1911-08-30,rainfall at vishnupur 2-38 inches. able. oompleted. fodder and water suttioient. rioe selling at tl seers a rupee at vishnupur. woather season- transplantation of wiuter paddy nearly common
Midnapore,2048.0,3016.0,4048.0,4056.0,1911-08-30,rainfall at oontai 1-88 at tamluk 1:70 and at ghatal 065 inobes. weather hot and oloudy. transplantation of winter rioe going on slowly. more rain urgently wanted. beedlingn have withered away. rioe bad. prospeots of maize reported fair from contai and salboni. from contai tamluk ghatal pingla keshpur salboni and bad from naragram. condition of bhurdoi til reported fair from contai and salboni and bad fresh sowing going on in plaoes where condition of antumn condition of jate reported fair no oattle-d:seake reported froim keshpur. exoept from keshpur. efodder and water suffioient. coumon rioe seiling at 12 seers a rupee at jontai at 10 seers et tamluk and at 104 s ut ubatel.
Hooghly,2032.0,4080.0,4032.0,4880.0,1911-08-30,rainfall at serampore 0:21 and at araubagh_3-56 inches. weather beasonable. rainfalk on 21st august facilitated transplantatiou of winter paddy throughout the distriut except at serampore where rainfall was nominal. wanted. condition of jute fair. cutiing of jute commenoed at serampore. no cattle-disense. vom- mon rine selling at 10} ers a rup at seramp and at 11 seers at arambagh. fodder and water suffioient. sky oloudy. heavy ore rain
Howrah,2096.0,4832.0,4096.0,5240.0,1911-08-30,rainfall at ulubaria 0.07 inch. sky overcast with clouds. more rain wanted. trans- plantation in progress.prospects of jute average ; that of sugaroane tair. stooks of food-grains fodder and water suffioient. weather sesoable.
24 Parganas,2088.0,5280.0,4088.0,5880.0,1911-08-30,rainfall at barasat 146 at barraok pore l54 at basirhat 0-45 and at dianmond harbour 2-66 inches. more rain wanted everywhere. transplantation of aman paddy progressing. fodder and water suffi- oient. oondition of jute hopeful. no cattle-disease orted. common rioe ellipg at 9 seers a rupe at barasat at 94 seers at barraokpore at 10 seers at basirbat and seers at diamond harbour.
Nadia,2096.0,1088.0,4096.0,1920.0,1911-08-30,rainfall at kushtia 1-71 at ranaghat 2-31 at ohuadanga 169 transplantation of aman paddy completed. harvent- ing of aus puddy and jute continuing. steeping of jute commenced in chuadanga. stooks of food-grains fodder and water sufficient. no cattle-disease. oommou rice selling at 93 seers a rupee at kushtia at 11 seers at ranagbat at 10 eers at ohuadanga and at 12& beers at meherpur. and at meherpur 126 inohes prospects good.
Murshidabad,2112.0,1928.0,4112.0,2640.0,1911-08-30,rainfall at lalbag 1-87 at jangipur 1-42 and at kandi 2-40 inohes. prospeots fair. state of standing orops reported to be bad through excessive rain in daulatabud. jute good except in sudar. disease reported in thana mirzapur in jangipur. common rice eliing at 10 seers a rupee at inlbag at 11 seers at jangipur and at 12 seers at kandi. oattle-
Jessore,2112.0,2640.0,4112.0,3424.0,1911-08-30,jhenida 1:78 at magura 181 at rainfall at narail 193 and at baugaon l44 iuohes. weather beasonable. oondition of jute and other standing orops good. iharvesting of jute uud bhadoi paddy going on. stocks of food-grains fodder and water suffioient. no cattle-disease. condition of agrioulture! stook good. oomimon rioe selling at 12 seers a rupee at jhenida and magura at 11 seers at nurail and at 11 seers at bangaon.
