ocr_report_path,date,date 2
cg1890p3_folder_0,jan 1 1890,01 1 1890
cg1902p2_folder_0,jan 1 1902,01 1 1902
calcgazette1913_folder_0,jan 1 1913,01 1 1913
cg1919p3_folder_1,jan 1 1919,01 1 1919
cg1919p7_folder_0,jan 1 1919,01 1 1919
cg1925p2_folder_1,jan 1 1925,01 1 1925
cg1931p11_folder_0,jan 1 1931,01 1 1931
cg1931p7_folder_0,jan 1 1931,01 1 1931
cg1894p2_folder_2,jan 10 1894,01 10 1894
cg1894p4_folder_1,jan 10 1894,01 10 1894
cg1900p4_folder_2,jan 10 1900,01 10 1900
cg1906p3_folder_3,jan 10 1906,01 10 1906
calcgaz1912_folder_2,jan 10 1912,01 10 1912
cg1917p3_folder_1,jan 10 1917,01 10 1917
cg1929p1_folder_2,jan 10 1929,01 10 1929
cg1893p1_folder_3,jan 11 1893,01 11 1893
cg1893p2_folder_2,jan 11 1893,01 11 1893
Calcutta1911_folder_3,jan 11 1911,01 11 1911
cg1922p2_folder_1,jan 11 1922,01 11 1922
cg1898p2_folder_2,jan 12 1898,01 12 1898
cg1898p3_folder_1,jan 12 1898,01 12 1898
calcutta_gazette_june_march_1910_folder_3,jan 12 1910,01 12 1910
cg1916p3_folder_3,jan 12 1916,01 12 1916
cg1928p5_folder_2,jan 12 1928,01 12 1928
cg1933p2_folder_1,jan 12 1933,01 12 1933
cg1892p1_folder_1,jan 13 1892,01 13 1892
cg1892p5_folder_5,jan 13 1892,01 13 1892
cg1904p3_folder_1,jan 13 1904,01 13 1904
cg1909p2_folder_3,jan 13 1909,01 13 1909
cg1926p2_folder_4,jan 13 1927,01 13 1927
cg1914p4_folder_3,jan 14 1914,01 14 1914
cg1926p4_folder_1,jan 14 1926,01 14 1926
cg1932p6_folder_3,jan 14 1932,01 14 1932
cg1896p4_folder_4,jan 15 1896,01 15 1896
cg1902p2_folder_2,jan 15 1902,01 15 1902
calcgaz1912_folder_3,jan 15 1912,01 15 1912
calcgazette1913_folder_2,jan 15 1913,01 15 1913
cg1919p3_folder_3,jan 15 1919,01 15 1919
cg1919p7_folder_2,jan 15 1919,01 15 1919
cg1925p2_folder_3,jan 15 1925,01 15 1925
cg1931p11_folder_2,jan 15 1931,01 15 1931
cg1931p7_folder_2,jan 15 1931,01 15 1931
cg1901p3_folder_2,jan 16 1901,01 16 1901
cg1901p4_folder_6,jan 16 1901,01 16 1901
cg1924p1_folder_4,jan 16 1924,01 16 1924
cg1930p2_folder_3,jan 16 1930,01 16 1930
cg1894p2_folder_4,jan 17 1894,01 17 1894
cg1894p4_folder_2,jan 17 1894,01 17 1894
cg1900p4_folder_3,jan 17 1900,01 17 1900
cg1906p3_folder_4,jan 17 1906,01 17 1906
cg1917p3_folder_2,jan 17 1917,01 17 1917
cg1929p1_folder_3,jan 17 1929,01 17 1929
cg1893p1_folder_4,jan 18 1893,01 18 1893
cg1893p2_folder_4,jan 18 1893,01 18 1893
Calcutta1911_folder_5,jan 18 1911,01 18 1911
calcutta_gazette_june_march_1910_folder_5,jan 19 1910,01 19 1910
cg1916p3_folder_5,jan 19 1916,01 19 1916
cg1921p4_folder_3,jan 19 1921,01 19 1921
cg1928p5_folder_3,jan 19 1928,01 19 1928
cg1933p2_folder_2,jan 19 1933,01 19 1933
cg1895p1_folder_0,jan 2 1895,01 2 1895
cg1901p4_folder_1,jan 2 1901,01 2 1901
cg1924p1_folder_1,jan 2 1924,01 2 1924
cg1930p2_folder_1,jan 2 1930,01 2 1930
cg1892p1_folder_2,jan 20 1892,01 20 1892
cg1892p5_folder_7,jan 20 1892,01 20 1892
cg1897p1_folder_0,jan 20 1897,01 20 1897
cg1904p3_folder_3,jan 20 1904,01 20 1904
cg1904p8_folder_0,jan 20 1904,01 20 1904
cg1909p2_folder_5,jan 20 1909,01 20 1909
cg1926p2_folder_5,jan 20 1927,01 20 1927
cg1914p4_folder_1,jan 21 1914,01 21 1914
cg1914p4_folder_2,jan 21 1914,01 21 1914
cg1926p4_folder_2,jan 21 1926,01 21 1926
cg1932p6_folder_4,jan 21 1932,01 21 1932
cg1890p3_folder_3,jan 22 1890,01 22 1890
cg1902p2_folder_4,jan 22 1902,01 22 1902
calcgaz1912_folder_4,jan 22 1912,01 22 1912
calcgazette1913_folder_3,jan 22 1913,01 22 1913
cg1919p3_folder_4,jan 22 1919,01 22 1919
cg1919p7_folder_4,jan 22 1919,01 22 1919
cg1925p2_folder_4,jan 22 1925,01 22 1925
cg1931p11_folder_3,jan 22 1931,01 22 1931
cg1931p7_folder_3,jan 22 1931,01 22 1931
cg1898p2_folder_5,jan 23 1898,01 23 1898
cg1901p3_folder_4,jan 23 1901,01 23 1901
cg1901p4_folder_8,jan 23 1901,01 23 1901
cg1924p1_folder_5,jan 23 1924,01 23 1924
cg1930p2_folder_4,jan 23 1930,01 23 1930
cg1894p2_folder_6,jan 24 1894,01 24 1894
cg1894p4_folder_3,jan 24 1894,01 24 1894
cg1900p4_folder_4,jan 24 1900,01 24 1900
cg1906p3_folder_8,jan 24 1906,01 24 1906
cg1917p3_folder_11,jan 24 1917,01 24 1917
cg1929p1_folder_5,jan 24 1929,01 24 1929
cg1893p1_folder_5,jan 25 1893,01 25 1893
cg1893p2_folder_5,jan 25 1893,01 25 1893
Calcutta1911_folder_7,jan 25 1911,01 25 1911
cg1922p2_folder_3,jan 25 1922,01 25 1922
cg1898p3_folder_3,jan 26 1898,01 26 1898
calcutta_gazette_june_march_1910_folder_6,jan 26 1910,01 26 1910
cg1916p3_folder_7,jan 26 1916,01 26 1916
cg1921p4_folder_4,jan 26 1921,01 26 1921
cg1928p5_folder_4,jan 26 1928,01 26 1928
cg1933p2_folder_4,jan 26 1933,01 26 1933
cg1892p1_folder_4,jan 27 1892,01 27 1892
cg1892p5_folder_9,jan 27 1892,01 27 1892
cg1897p1_folder_1,jan 27 1897,01 27 1897
cg1904p3_folder_5,jan 27 1904,01 27 1904
cg1904p8_folder_1,jan 27 1904,01 27 1904
cg1909p2_folder_6,jan 27 1909,01 27 1909
cg1926p2_folder_6,jan 27 1927,01 27 1927
cg1914p4_folder_0,jan 28 1914,01 28 1914
cg1926p4_folder_3,jan 28 1926,01 28 1926
cg1932p6_folder_5,jan 28 1932,01 28 1932
calcgazette1913_folder_4,jan 29 1913,01 29 1913
cg1919p3_folder_5,jan 29 1919,01 29 1919
cg1919p7_folder_5,jan 29 1919,01 29 1919
cg1925p2_folder_5,jan 29 1925,01 29 1925
cg1931p11_folder_4,jan 29 1931,01 29 1931
cg1931p7_folder_4,jan 29 1931,01 29 1931
cg1894p2_folder_0,jan 3 1894,01 3 1894
cg1894p4_folder_0,jan 3 1894,01 3 1894
cg1900p4_folder_0,jan 3 1900,01 3 1900
cg1906p3_folder_0,jan 3 1906,01 3 1906
cg1906p3_folder_2,jan 3 1906,01 3 1906
calcgaz1912_folder_1,jan 3 1912,01 3 1912
cg1917p3_folder_0,jan 3 1917,01 3 1917
cg1929p1_folder_0,jan 3 1929,01 3 1929
cg1901p3_folder_5,jan 30 1901,01 30 1901
cg1901p4_folder_9,jan 30 1901,01 30 1901
cg1924p1_folder_6,jan 30 1924,01 30 1924
cg1894p2_folder_7,jan 31 1894,01 31 1894
cg1894p4_folder_4,jan 31 1894,01 31 1894
cg1900p4_folder_5,jan 31 1900,01 31 1900
calcgaz1912_folder_6,jan 31 1912,01 31 1912
cg1917p3_folder_3,jan 31 1917,01 31 1917
cg1923p3_folder_0,jan 31 1923,01 31 1923
cg1929p1_folder_6,jan 31 1929,01 31 1929
cg1893p2_folder_0,jan 4 1893,01 4 1893
Calcutta1911_folder_1,jan 4 1911,01 4 1911
cg1893p1_folder_0,jan 4 893,01 4 1893
cg1898p2_folder_0,jan 5 1898,01 5 1898
cg1898p3_folder_0,jan 5 1898,01 5 1898
calcutta_gazette_june_march_1910_folder_2,jan 5 1910,01 5 1910
cg1916p3_folder_1,jan 5 1916,01 5 1916
cg1921p4_folder_0,jan 5 1921,01 5 1921
cg1928p5_folder_1,jan 5 1928,01 5 1928
cg1933p2_folder_0,jan 5 1933,01 5 1933
cg1892p1_folder_0,jan 6 1892,01 6 1892
cg1892p5_folder_2,jan 6 1892,01 6 1892
cg1909p2_folder_2,jan 6 1909,01 6 1909
cg1926p2_folder_3,jan 6 1927,01 6 1927
cg1914p4_folder_4,jan 7 1914,01 7 1914
cg1926p4_folder_0,jan 7 1926,01 7 1926
cg1932p6_folder_0,jan 7 1932,01 7 1932
cg1890p3_folder_1,jan 8 1890,01 8 1890
cg1896p4_folder_1,jan 8 1896,01 8 1896
cg1902p2_folder_1,jan 8 1902,01 8 1902
calcgazette1913_folder_1,jan 8 1913,01 8 1913
cg1919p3_folder_2,jan 8 1919,01 8 1919
cg1919p7_folder_1,jan 8 1919,01 8 1919
cg1925p2_folder_2,jan 8 1925,01 8 1925
cg1931p11_folder_1,jan 8 1931,01 8 1931
cg1931p7_folder_1,jan 8 1931,01 8 1931
cg1895p1_folder_3,jan 9 1895,01 9 1895
cg1901p3_folder_0,jan 9 1901,01 9 1901
cg1901p4_folder_4,jan 9 1901,01 9 1901
cg1924p1_folder_3,jan 9 1924,01 9 1924
cg1930p2_folder_2,jan 9 1930,01 9 1930
cg1893p1_folder_6,feb 1 1893,02 1 1893
cg1893p2_folder_6,feb 1 1893,02 1 1893
cg1905p3_folder_0,feb 1 1905,02 1 1905
Calcutta1911_folder_10,feb 1 1911,02 1 1911
cg1922p2_folder_5,feb 1 1922,02 1 1922
cg1892p1_folder_6,feb 10 1892,02 10 1892
cg1892p5_folder_13,feb 10 1892,02 10 1892
cg1897p1_folder_3,feb 10 1897,02 10 1897
