Date,Path
01/01/1890,cg1890p3_folder_0
1/1/1902,cg1902p2_folder_0
1/1/1913,calcgazette1913_folder_0
1/1/1919,cg1919p3_folder_1
1/1/1919,cg1919p7_folder_0
1/1/1925,cg1925p2_folder_1
1/1/1931,cg1931p11_folder_0
1/1/1931,cg1931p7_folder_0
01/10/1894,cg1894p2_folder_2
01/10/1894,cg1894p4_folder_1
1/10/1900,cg1900p4_folder_2
1/10/1906,cg1906p3_folder_3
1/10/1912,calcgaz1912_folder_2
1/10/1917,cg1917p3_folder_1
1/10/1929,cg1929p1_folder_2
01/11/1893,cg1893p1_folder_3
01/11/1893,cg1893p2_folder_2
1/11/1911,Calcutta1911_folder_3
1/11/1922,cg1922p2_folder_1
01/12/1898,cg1898p2_folder_2
01/12/1898,cg1898p3_folder_1
1/12/1910,calcutta_gazette_june_march_1910_folder_3
1/12/1916,cg1916p3_folder_3
1/12/1928,cg1928p5_folder_2
1/12/1933,cg1933p2_folder_1
01/13/1892,cg1892p1_folder_1
01/13/1892,cg1892p5_folder_5
1/13/1904,cg1904p3_folder_1
1/13/1909,cg1909p2_folder_3
1/13/1927,cg1926p2_folder_4
1/14/1914,cg1914p4_folder_3
1/14/1926,cg1926p4_folder_1
1/14/1932,cg1932p6_folder_3
01/15/1896,cg1896p4_folder_4
1/15/1902,cg1902p2_folder_2
1/15/1912,calcgaz1912_folder_3
1/15/1913,calcgazette1913_folder_2
1/15/1919,cg1919p3_folder_3
1/15/1919,cg1919p7_folder_2
1/15/1925,cg1925p2_folder_3
1/15/1931,cg1931p11_folder_2
1/15/1931,cg1931p7_folder_2
1/16/1901,cg1901p3_folder_2
1/16/1901,cg1901p4_folder_6
1/16/1924,cg1924p1_folder_4
1/16/1930,cg1930p2_folder_3
01/17/1894,cg1894p2_folder_4
01/17/1894,cg1894p4_folder_2
1/17/1900,cg1900p4_folder_3
1/17/1906,cg1906p3_folder_4
1/17/1917,cg1917p3_folder_2
1/17/1929,cg1929p1_folder_3
01/18/1893,cg1893p1_folder_4
01/18/1893,cg1893p2_folder_4
1/18/1911,Calcutta1911_folder_5
1/19/1910,calcutta_gazette_june_march_1910_folder_5
1/19/1916,cg1916p3_folder_5
1/19/1921,cg1921p4_folder_3
1/19/1928,cg1928p5_folder_3
1/19/1933,cg1933p2_folder_2
01/02/1895,cg1895p1_folder_0
1/2/1901,cg1901p4_folder_1
1/2/1924,cg1924p1_folder_1
1/2/1930,cg1930p2_folder_1
01/20/1892,cg1892p1_folder_2
01/20/1892,cg1892p5_folder_7
01/20/1897,cg1897p1_folder_0
1/20/1904,cg1904p3_folder_3
1/20/1904,cg1904p8_folder_0
1/20/1909,cg1909p2_folder_5
1/20/1927,cg1926p2_folder_5
1/21/1914,cg1914p4_folder_1
1/21/1914,cg1914p4_folder_2
1/21/1926,cg1926p4_folder_2
1/21/1932,cg1932p6_folder_4
01/22/1890,cg1890p3_folder_3
1/22/1902,cg1902p2_folder_4
1/22/1912,calcgaz1912_folder_4
1/22/1913,calcgazette1913_folder_3
1/22/1919,cg1919p3_folder_4
1/22/1919,cg1919p7_folder_4
1/22/1925,cg1925p2_folder_4
1/22/1931,cg1931p11_folder_3
1/22/1931,cg1931p7_folder_3
01/23/1898,cg1898p2_folder_5
1/23/1901,cg1901p3_folder_4
1/23/1901,cg1901p4_folder_8
1/23/1924,cg1924p1_folder_5
1/23/1930,cg1930p2_folder_4
01/24/1894,cg1894p2_folder_6
01/24/1894,cg1894p4_folder_3
1/24/1900,cg1900p4_folder_4
1/24/1906,cg1906p3_folder_8
1/24/1917,cg1917p3_folder_11
1/24/1929,cg1929p1_folder_5
01/25/1893,cg1893p1_folder_5
01/25/1893,cg1893p2_folder_5
1/25/1911,Calcutta1911_folder_7
1/25/1922,cg1922p2_folder_3
01/26/1898,cg1898p3_folder_3
1/26/1910,calcutta_gazette_june_march_1910_folder_6
1/26/1916,cg1916p3_folder_7
1/26/1921,cg1921p4_folder_4
1/26/1928,cg1928p5_folder_4
1/26/1933,cg1933p2_folder_4
01/27/1892,cg1892p1_folder_4
01/27/1892,cg1892p5_folder_9
01/27/1897,cg1897p1_folder_1
1/27/1904,cg1904p3_folder_5
1/27/1904,cg1904p8_folder_1
1/27/1909,cg1909p2_folder_6
1/27/1927,cg1926p2_folder_6
1/28/1914,cg1914p4_folder_0
1/28/1926,cg1926p4_folder_3
1/28/1932,cg1932p6_folder_5
