sort,image,word,x1,y1,x2,y2,x3,y3,x4,y4
0,../Crop_Reports/Bengal Crop Reports PNG/Calcutta1911_folder_3\Calcutta1911_page_245.png,1911.,3006,334,3157,330,3158,385,3007,389
1,../Crop_Reports/Bengal Crop Reports PNG/Calcutta1911_folder_3\Calcutta1911_page_245.png,90,322,382,389,382,389,433,322,433
2,../Crop_Reports/Bengal Crop Reports PNG/Calcutta1911_folder_3\Calcutta1911_page_245.png,8upplement,746,367,1255,360,1256,420,747,427
3,../Crop_Reports/Bengal Crop Reports PNG/Calcutta1911_folder_3\Calcutta1911_page_245.png,to,1294,363,1387,362,1388,419,1295,420
4,../Crop_Reports/Bengal Crop Reports PNG/Calcutta1911_folder_3\Calcutta1911_page_245.png,the,1424,361,1585,359,1586,414,1425,416
5,../Crop_Reports/Bengal Crop Reports PNG/Calcutta1911_folder_3\Calcutta1911_page_245.png,ualoutta,1620,358,2017,353,2018,409,1621,414
6,../Crop_Reports/Bengal Crop Reports PNG/Calcutta1911_folder_3\Calcutta1911_page_245.png,gazette,2058,350,2425,345,2426,411,2059,416
7,../Crop_Reports/Bengal Crop Reports PNG/Calcutta1911_folder_3\Calcutta1911_page_245.png,january,2464,343,2847,338,2848,400,2465,405
8,../Crop_Reports/Bengal Crop Reports PNG/Calcutta1911_folder_3\Calcutta1911_page_245.png,11,2888,341,2964,340,2965,404,2889,405
9,../Crop_Reports/Bengal Crop Reports PNG/Calcutta1911_folder_3\Calcutta1911_page_245.png,weather,1400,613,1779,608,1780,670,1401,675
10,../Crop_Reports/Bengal Crop Reports PNG/Calcutta1911_folder_3\Calcutta1911_page_245.png,and,1838,603,1997,601,1998,661,1839,663
11,../Crop_Reports/Bengal Crop Reports PNG/Calcutta1911_folder_3\Calcutta1911_page_245.png,crop,2056,598,2239,595,2240,657,2057,660
12,../Crop_Reports/Bengal Crop Reports PNG/Calcutta1911_folder_3\Calcutta1911_page_245.png,b.,2288,601,2601,597,2602,660,2289,664
13,../Crop_Reports/Bengal Crop Reports PNG/Calcutta1911_folder_3\Calcutta1911_page_245.png,for,1334,772,1433,771,1434,822,1335,823
14,../Crop_Reports/Bengal Crop Reports PNG/Calcutta1911_folder_3\Calcutta1911_page_245.png,the,1468,770,1543,769,1544,817,1469,818
15,../Crop_Reports/Bengal Crop Reports PNG/Calcutta1911_folder_3\Calcutta1911_page_245.png,week,1590,765,1707,764,1708,813,1591,814
16,../Crop_Reports/Bengal Crop Reports PNG/Calcutta1911_folder_3\Calcutta1911_page_245.png,ending,1754,759,1925,757,1926,814,1755,816
17,../Crop_Reports/Bengal Crop Reports PNG/Calcutta1911_folder_3\Calcutta1911_page_245.png,the,1974,752,2051,751,2052,798,1975,799
18,../Crop_Reports/Bengal Crop Reports PNG/Calcutta1911_folder_3\Calcutta1911_page_245.png,9lh,2090,751,2175,750,2176,799,2091,800
19,../Crop_Reports/Bengal Crop Reports PNG/Calcutta1911_folder_3\Calcutta1911_page_245.png,january,2214,749,2451,746,2452,816,2215,819
20,../Crop_Reports/Bengal Crop Reports PNG/Calcutta1911_folder_3\Calcutta1911_page_245.png,1911.,2486,752,2641,750,2642,805,2487,807
21,../Crop_Reports/Bengal Crop Reports PNG/Calcutta1911_folder_3\Calcutta1911_page_245.png,price,1343,912,1439,910,1440,943,1344,945
22,../Crop_Reports/Bengal Crop Reports PNG/Calcutta1911_folder_3\Calcutta1911_page_245.png,of,1455,914,1487,913,1488,939,1456,940
23,../Crop_Reports/Bengal Crop Reports PNG/Calcutta1911_folder_3\Calcutta1911_page_245.png,cormimon,1507,909,1684,905,1685,940,1508,944
24,../Crop_Reports/Bengal Crop Reports PNG/Calcutta1911_folder_3\Calcutta1911_page_245.png,rioe.,1685,908,1766,906,1767,931,1686,933
25,../Crop_Reports/Bengal Crop Reports PNG/Calcutta1911_folder_3\Calcutta1911_page_245.png,1aprs,1428,954,1555,951,1556,983,1429,986
26,../Crop_Reports/Bengal Crop Reports PNG/Calcutta1911_folder_3\Calcutta1911_page_245.png,par,1557,951,1613,950,1614,982,1558,983
27,../Crop_Reports/Bengal Crop Reports PNG/Calcutta1911_folder_3\Calcutta1911_page_245.png,riipeo.,1625,951,1742,948,1743,975,1626,978
28,../Crop_Reports/Bengal Crop Reports PNG/Calcutta1911_folder_3\Calcutta1911_page_245.png,charaater,2028,970,2231,973,2230,1008,2028,1005
29,../Crop_Reports/Bengal Crop Reports PNG/Calcutta1911_folder_3\Calcutta1911_page_245.png,of,2242,971,2281,972,2281,1007,2242,1006
30,../Crop_Reports/Bengal Crop Reports PNG/Calcutta1911_folder_3\Calcutta1911_page_245.png,the,2294,970,2359,971,2359,1006,2294,1005
31,../Crop_Reports/Bengal Crop Reports PNG/Calcutta1911_folder_3\Calcutta1911_page_245.png,wather,2376,970,2553,972,2552,1010,2375,1008
32,../Crop_Reports/Bengal Crop Reports PNG/Calcutta1911_folder_3\Calcutta1911_page_245.png,and,2566,975,2639,976,2639,1006,2566,1005
33,../Crop_Reports/Bengal Crop Reports PNG/Calcutta1911_folder_3\Calcutta1911_page_245.png,atata,2652,976,2751,977,2751,1009,2652,1008
34,../Crop_Reports/Bengal Crop Reports PNG/Calcutta1911_folder_3\Calcutta1911_page_245.png,and,2762,974,2837,975,2836,1011,2762,1010
35,../Crop_Reports/Bengal Crop Reports PNG/Calcutta1911_folder_3\Calcutta1911_page_245.png,proopeote,2854,981,3037,984,3036,1020,2854,1017
36,../Crop_Reports/Bengal Crop Reports PNG/Calcutta1911_folder_3\Calcutta1911_page_245.png,of,3042,978,3109,979,3108,1018,3041,1017
37,../Crop_Reports/Bengal Crop Reports PNG/Calcutta1911_folder_3\Calcutta1911_page_245.png,the,3106,979,3171,980,3171,1015,3106,1014
38,../Crop_Reports/Bengal Crop Reports PNG/Calcutta1911_folder_3\Calcutta1911_page_245.png,crope,3180,988,3301,990,3301,1021,3180,1019
39,../Crop_Reports/Bengal Crop Reports PNG/Calcutta1911_folder_3\Calcutta1911_page_245.png,.,3312,984,3385,985,3385,1016,3312,1015
40,../Crop_Reports/Bengal Crop Reports PNG/Calcutta1911_folder_3\Calcutta1911_page_245.png,rainiali,1020,979,1178,978,1178,1010,1020,1011
41,../Crop_Reports/Bengal Crop Reports PNG/Calcutta1911_folder_3\Calcutta1911_page_245.png,at,1204,982,1240,982,1240,1007,1204,1007
42,../Crop_Reports/Bengal Crop Reports PNG/Calcutta1911_folder_3\Calcutta1911_page_245.png,sadur,997,1017,1118,1018,1118,1056,997,1055
43,../Crop_Reports/Bengal Crop Reports PNG/Calcutta1911_folder_3\Calcutta1911_page_245.png,atatian.,1121,1017,1270,1018,1270,1056,1121,1055
44,../Crop_Reports/Bengal Crop Reports PNG/Calcutta1911_folder_3\Calcutta1911_page_245.png,no.,388,1006,459,1006,459,1045,388,1045
45,../Crop_Reports/Bengal Crop Reports PNG/Calcutta1911_folder_3\Calcutta1911_page_245.png,name,559,1001,679,999,680,1035,560,1037
46,../Crop_Reports/Bengal Crop Reports PNG/Calcutta1911_folder_3\Calcutta1911_page_245.png,of,695,1001,732,1000,732,1035,696,1036
47,../Crop_Reports/Bengal Crop Reports PNG/Calcutta1911_folder_3\Calcutta1911_page_245.png,distrnct,746,997,909,995,910,1033,747,1035
48,../Crop_Reports/Bengal Crop Reports PNG/Calcutta1911_folder_3\Calcutta1911_page_245.png,thn,1300,1070,1421,1068,1422,1101,1301,1103
49,../Crop_Reports/Bengal Crop Reports PNG/Calcutta1911_folder_3\Calcutta1911_page_245.png,wme.,1419,1072,1525,1070,1525,1094,1419,1096
50,../Crop_Reports/Bengal Crop Reports PNG/Calcutta1911_folder_3\Calcutta1911_page_245.png,provinun,1589,1062,1749,1057,1750,1088,1590,1093
51,../Crop_Reports/Bengal Crop Reports PNG/Calcutta1911_folder_3\Calcutta1911_page_245.png,woek.,1767,1059,1876,1056,1877,1085,1768,1088
52,../Crop_Reports/Bengal Crop Reports PNG/Calcutta1911_folder_3\Calcutta1911_page_245.png,inches.,1044,1372,1241,1368,1242,1423,1045,1427
53,../Crop_Reports/Bengal Crop Reports PNG/Calcutta1911_folder_3\Calcutta1911_page_245.png,1,450,1446,513,1446,513,1513,450,1513
54,../Crop_Reports/Bengal Crop Reports PNG/Calcutta1911_folder_3\Calcutta1911_page_245.png,burdwan,516,1446,829,1446,829,1513,516,1513
55,../Crop_Reports/Bengal Crop Reports PNG/Calcutta1911_folder_3\Calcutta1911_page_245.png,13,1750,1424,1855,1422,1856,1493,1751,1495
56,../Crop_Reports/Bengal Crop Reports PNG/Calcutta1911_folder_3\Calcutta1911_page_245.png,|,1934,1419,1969,1418,1970,1497,1935,1498
57,../Crop_Reports/Bengal Crop Reports PNG/Calcutta1911_folder_3\Calcutta1911_page_245.png,report,1958,1422,2153,1419,2154,1491,1959,1494
58,../Crop_Reports/Bengal Crop Reports PNG/Calcutta1911_folder_3\Calcutta1911_page_245.png,not,2174,1424,2271,1422,2272,1492,2175,1494
59,../Crop_Reports/Bengal Crop Reports PNG/Calcutta1911_folder_3\Calcutta1911_page_245.png,reoeived,2292,1420,2537,1416,2538,1476,2293,1480
60,../Crop_Reports/Bengal Crop Reports PNG/Calcutta1911_folder_3\Calcutta1911_page_245.png,weather,1968,1982,2215,1985,2214,2041,1967,2038
61,../Crop_Reports/Bengal Crop Reports PNG/Calcutta1911_folder_3\Calcutta1911_page_245.png,oold.,2230,1983,2361,1984,2360,2040,2229,2039
62,../Crop_Reports/Bengal Crop Reports PNG/Calcutta1911_folder_3\Calcutta1911_page_245.png,harvesting,2434,1985,2755,1989,2754,2055,2433,2051
63,../Crop_Reports/Bengal Crop Reports PNG/Calcutta1911_folder_3\Calcutta1911_page_245.png,of,2778,1985,2835,1986,2834,2040,2777,2039
64,../Crop_Reports/Bengal Crop Reports PNG/Calcutta1911_folder_3\Calcutta1911_page_245.png,a,2858,2004,2885,2004,2885,2035,2858,2035
65,../Crop_Reports/Bengal Crop Reports PNG/Calcutta1911_folder_3\Calcutta1911_page_245.png,man,2896,2003,3019,2004,3018,2059,2895,2058
66,../Crop_Reports/Bengal Crop Reports PNG/Calcutta1911_folder_3\Calcutta1911_page_245.png,paddy,3032,1988,3205,1990,3204,2061,3031,2059
67,../Crop_Reports/Bengal Crop Reports PNG/Calcutta1911_folder_3\Calcutta1911_page_245.png,continuing.,3228,1990,3549,1994,3548,2066,3227,2062
68,../Crop_Reports/Bengal Crop Reports PNG/Calcutta1911_folder_3\Calcutta1911_page_245.png,fodder,2016,2056,2219,2057,2219,2108,2016,2107
69,../Crop_Reports/Bengal Crop Reports PNG/Calcutta1911_folder_3\Calcutta1911_page_245.png,and,2278,2057,2375,2057,2375,2108,2278,2108
70,../Crop_Reports/Bengal Crop Reports PNG/Calcutta1911_folder_3\Calcutta1911_page_245.png,water,2428,2065,2583,2066,2583,2110,2428,2109
71,../Crop_Reports/Bengal Crop Reports PNG/Calcutta1911_folder_3\Calcutta1911_page_245.png,sufficient.,2642,2052,2905,2053,2905,2111,2642,2110
72,../Crop_Reports/Bengal Crop Reports PNG/Calcutta1911_folder_3\Calcutta1911_page_245.png,common,2014,2126,2263,2128,2263,2177,2014,2175
73,../Crop_Reports/Bengal Crop Reports PNG/Calcutta1911_folder_3\Calcutta1911_page_245.png,rice,2312,2125,2415,2126,2414,2181,2311,2180
74,../Crop_Reports/Bengal Crop Reports PNG/Calcutta1911_folder_3\Calcutta1911_page_245.png,selling,2462,2126,2645,2128,2644,2194,2461,2192
75,../Crop_Reports/Bengal Crop Reports PNG/Calcutta1911_folder_3\Calcutta1911_page_245.png,at,2672,2137,2721,2137,2721,2180,2672,2180
76,../Crop_Reports/Bengal Crop Reports PNG/Calcutta1911_folder_3\Calcutta1911_page_245.png,14,2756,2127,2819,2128,2818,2182,2755,2181
