sort,image,word,x1,y1,x2,y2,x3,y3,x4,y4
0,../Crop_Reports/Bengal Crop Reports PNG/TheCalcutta1911adsf_folder_5\TheCalcutta1911adsf_page_714.png,bupplement,792,302,1335,302,1335,359,792,359
1,../Crop_Reports/Bengal Crop Reports PNG/TheCalcutta1911adsf_folder_5\TheCalcutta1911adsf_page_714.png,to,1376,310,1475,310,1475,363,1376,363
2,../Crop_Reports/Bengal Crop Reports PNG/TheCalcutta1911adsf_folder_5\TheCalcutta1911adsf_page_714.png,the,1516,306,1685,306,1685,363,1516,363
3,../Crop_Reports/Bengal Crop Reports PNG/TheCalcutta1911adsf_folder_5\TheCalcutta1911adsf_page_714.png,ualoutta,1726,306,2147,306,2147,363,1726,363
4,../Crop_Reports/Bengal Crop Reports PNG/TheCalcutta1911adsf_folder_5\TheCalcutta1911adsf_page_714.png,gazette,2198,308,2581,308,2581,375,2198,375
5,../Crop_Reports/Bengal Crop Reports PNG/TheCalcutta1911adsf_folder_5\TheCalcutta1911adsf_page_714.png,july,2620,300,2833,300,2833,361,2620,361
6,../Crop_Reports/Bengal Crop Reports PNG/TheCalcutta1911adsf_folder_5\TheCalcutta1911adsf_page_714.png,19,2874,304,2961,304,2961,369,2874,369
7,../Crop_Reports/Bengal Crop Reports PNG/TheCalcutta1911adsf_folder_5\TheCalcutta1911adsf_page_714.png,1911.,3010,304,3165,304,3165,363,3010,363
8,../Crop_Reports/Bengal Crop Reports PNG/TheCalcutta1911adsf_folder_5\TheCalcutta1911adsf_page_714.png,196,3685,353,3582,354,3581,301,3684,300
9,../Crop_Reports/Bengal Crop Reports PNG/TheCalcutta1911adsf_folder_5\TheCalcutta1911adsf_page_714.png,---,2066,464,2100,464,2100,471,2066,471
10,../Crop_Reports/Bengal Crop Reports PNG/TheCalcutta1911adsf_folder_5\TheCalcutta1911adsf_page_714.png,weather,1400,570,1803,570,1803,635,1400,635
11,../Crop_Reports/Bengal Crop Reports PNG/TheCalcutta1911adsf_folder_5\TheCalcutta1911adsf_page_714.png,and,1870,572,2041,572,2041,633,1870,633
12,../Crop_Reports/Bengal Crop Reports PNG/TheCalcutta1911adsf_folder_5\TheCalcutta1911adsf_page_714.png,crop,2104,572,2297,572,2297,631,2104,631
13,../Crop_Reports/Bengal Crop Reports PNG/TheCalcutta1911adsf_folder_5\TheCalcutta1911adsf_page_714.png,report,2364,576,2663,576,2663,635,2364,635
14,../Crop_Reports/Bengal Crop Reports PNG/TheCalcutta1911adsf_folder_5\TheCalcutta1911adsf_page_714.png,for,1411,726,1513,726,1513,797,1411,797
15,../Crop_Reports/Bengal Crop Reports PNG/TheCalcutta1911adsf_folder_5\TheCalcutta1911adsf_page_714.png,the,1538,740,1615,740,1615,785,1538,785
16,../Crop_Reports/Bengal Crop Reports PNG/TheCalcutta1911adsf_folder_5\TheCalcutta1911adsf_page_714.png,week,1672,736,1797,736,1797,785,1672,785
17,../Crop_Reports/Bengal Crop Reports PNG/TheCalcutta1911adsf_folder_5\TheCalcutta1911adsf_page_714.png,endng,1846,730,2033,730,2033,791,1846,791
18,../Crop_Reports/Bengal Crop Reports PNG/TheCalcutta1911adsf_folder_5\TheCalcutta1911adsf_page_714.png,the,2086,730,2165,730,2165,783,2086,783
19,../Crop_Reports/Bengal Crop Reports PNG/TheCalcutta1911adsf_folder_5\TheCalcutta1911adsf_page_714.png,17th,2234,736,2361,736,2361,785,2234,785
