sort,image,word,x1,y1,x2,y2,x3,y3,x4,y4
0,../Crop_Reports/Bengal Crop Reports PNG/calcgaette1913pt3_folder_4\calcgaette1913pt3_page_502.png,supplement,736,400,1331,403,1331,478,736,475
1,../Crop_Reports/Bengal Crop Reports PNG/calcgaette1913pt3_folder_4\calcgaette1913pt3_page_502.png,to,1368,412,1487,413,1487,476,1368,475
2,../Crop_Reports/Bengal Crop Reports PNG/calcgaette1913pt3_folder_4\calcgaette1913pt3_page_502.png,the,1524,400,1719,401,1719,477,1524,476
3,../Crop_Reports/Bengal Crop Reports PNG/calcgaette1913pt3_folder_4\calcgaette1913pt3_page_502.png,caloutta,1760,401,2231,404,2231,484,1760,481
4,../Crop_Reports/Bengal Crop Reports PNG/calcgaette1913pt3_folder_4\calcgaette1913pt3_page_502.png,gazette,2276,408,2703,410,2703,486,2276,484
5,../Crop_Reports/Bengal Crop Reports PNG/calcgaette1913pt3_folder_4\calcgaette1913pt3_page_502.png,july,2748,407,2983,408,2983,480,2748,479
6,../Crop_Reports/Bengal Crop Reports PNG/calcgaette1913pt3_folder_4\calcgaette1913pt3_page_502.png,16,3032,417,3123,418,3123,490,3032,489
7,../Crop_Reports/Bengal Crop Reports PNG/calcgaette1913pt3_folder_4\calcgaette1913pt3_page_502.png,1913.,3168,418,3343,419,3343,482,3168,481
8,../Crop_Reports/Bengal Crop Reports PNG/calcgaette1913pt3_folder_4\calcgaette1913pt3_page_502.png,887,3708,423,3823,422,3823,486,3708,487
9,../Crop_Reports/Bengal Crop Reports PNG/calcgaette1913pt3_folder_4\calcgaette1913pt3_page_502.png,district,878,712,1331,712,1331,779,878,779
10,../Crop_Reports/Bengal Crop Reports PNG/calcgaette1913pt3_folder_4\calcgaette1913pt3_page_502.png,reports,1400,714,1855,714,1855,779,1400,779
11,../Crop_Reports/Bengal Crop Reports PNG/calcgaette1913pt3_folder_4\calcgaette1913pt3_page_502.png,on,1982,708,2073,708,2073,789,1982,789
