sort,image,word,x1,y1,x2,y2,x3,y3,x4,y4
0,../Crop_Reports/Bengal Crop Reports PNG/calcgaz1912_folder_14\calcgaz1912_page_1840.png,supplement,642,290,1206,294,1206,356,642,352
1,../Crop_Reports/Bengal Crop Reports PNG/calcgaz1912_folder_14\calcgaz1912_page_1840.png,to,1246,294,1348,295,1348,354,1246,353
2,../Crop_Reports/Bengal Crop Reports PNG/calcgaz1912_folder_14\calcgaz1912_page_1840.png,th,1392,294,1513,295,1513,353,1392,352
3,../Crop_Reports/Bengal Crop Reports PNG/calcgaz1912_folder_14\calcgaz1912_page_1840.png,e,1531,293,1586,293,1586,354,1531,354
4,../Crop_Reports/Bengal Crop Reports PNG/calcgaz1912_folder_14\calcgaz1912_page_1840.png,oaloutta,1623,289,2063,292,2063,357,1623,354
5,../Crop_Reports/Bengal Crop Reports PNG/calcgaz1912_folder_14\calcgaz1912_page_1840.png,gazette,2103,296,2498,299,2498,369,2103,366
6,../Crop_Reports/Bengal Crop Reports PNG/calcgaz1912_folder_14\calcgaz1912_page_1840.png,maruh,2538,300,2840,302,2840,364,2538,362
7,../Crop_Reports/Bengal Crop Reports PNG/calcgaz1912_folder_14\calcgaz1912_page_1840.png,6,2879,307,2934,307,2934,374,2879,374
8,../Crop_Reports/Bengal Crop Reports PNG/calcgaz1912_folder_14\calcgaz1912_page_1840.png,912.,2983,307,3151,308,3151,367,2983,366
9,../Crop_Reports/Bengal Crop Reports PNG/calcgaz1912_folder_14\calcgaz1912_page_1840.png,285,3300,306,3418,305,3418,371,3300,372
10,../Crop_Reports/Bengal Crop Reports PNG/calcgaz1912_folder_14\calcgaz1912_page_1840.png,69,726,3244,726,3285,695,3285,695,3244
11,../Crop_Reports/Bengal Crop Reports PNG/calcgaz1912_folder_14\calcgaz1912_page_1840.png,1,741,3437,741,3466,692,3465,692,3436
12,../Crop_Reports/Bengal Crop Reports PNG/calcgaz1912_folder_14\calcgaz1912_page_1840.png,000s,741,3469,740,3558,690,3557,691,3468
13,../Crop_Reports/Bengal Crop Reports PNG/calcgaz1912_folder_14\calcgaz1912_page_1840.png,2nd,727,2149,728,2071,765,2071,764,2149
14,../Crop_Reports/Bengal Crop Reports PNG/calcgaz1912_folder_14\calcgaz1912_page_1840.png,week,725,2013,726,1909,764,1909,763,2013
15,../Crop_Reports/Bengal Crop Reports PNG/calcgaz1912_folder_14\calcgaz1912_page_1840.png,of,725,1879,725,1840,763,1840,763,1879
16,../Crop_Reports/Bengal Crop Reports PNG/calcgaz1912_folder_14\calcgaz1912_page_1840.png,!,722,1824,722,1803,770,1804,770,1825
17,../Crop_Reports/Bengal Crop Reports PNG/calcgaz1912_folder_14\calcgaz1912_page_1840.png,the,726,1800,727,1718,765,1718,764,1800
18,../Crop_Reports/Bengal Crop Reports PNG/calcgaz1912_folder_14\calcgaz1912_page_1840.png,reintall,726,1692,728,1534,771,1535,769,1693
19,../Crop_Reports/Bengal Crop Reports PNG/calcgaz1912_folder_14\calcgaz1912_page_1840.png,and,729,1520,730,1439,766,1439,765,1520
20,../Crop_Reports/Bengal Crop Reports PNG/calcgaz1912_folder_14\calcgaz1912_page_1840.png,weathe,732,1414,734,1241,777,1242,775,1415
21,../Crop_Reports/Bengal Crop Reports PNG/calcgaz1912_folder_14\calcgaz1912_page_1840.png,99,724,3018,724,3063,689,3063,689,3018
22,../Crop_Reports/Bengal Crop Reports PNG/calcgaz1912_folder_14\calcgaz1912_page_1840.png,psna,729,4106,731,4279,693,4279,691,4106
23,../Crop_Reports/Bengal Crop Reports PNG/calcgaz1912_folder_14\calcgaz1912_page_1840.png,puv,730,4298,731,4371,693,4371,692,4298
24,../Crop_Reports/Bengal Crop Reports PNG/calcgaz1912_folder_14\calcgaz1912_page_1840.png,ed,737,4391,737,4441,692,4441,692,4391
25,../Crop_Reports/Bengal Crop Reports PNG/calcgaz1912_folder_14\calcgaz1912_page_1840.png,582281,774,2874,774,2733,813,2733,813,2874
26,../Crop_Reports/Bengal Crop Reports PNG/calcgaz1912_folder_14\calcgaz1912_page_1840.png,009,849,4569,852,4659,806,4660,803,4570
27,../Crop_Reports/Bengal Crop Reports PNG/calcgaz1912_folder_14\calcgaz1912_page_1840.png,8,851,4663,852,4699,807,4700,806,4664
28,../Crop_Reports/Bengal Crop Reports PNG/calcgaz1912_folder_14\calcgaz1912_page_1840.png,other,868,4502,869,4367,909,4367,908,4502
29,../Crop_Reports/Bengal Crop Reports PNG/calcgaz1912_folder_14\calcgaz1912_page_1840.png,oilseeds,868,4354,870,4197,914,4197,912,4354
30,../Crop_Reports/Bengal Crop Reports PNG/calcgaz1912_folder_14\calcgaz1912_page_1840.png,(ex,869,4178,870,4115,910,4115,909,4178
31,../Crop_Reports/Bengal Crop Reports PNG/calcgaz1912_folder_14\calcgaz1912_page_1840.png,ally,815,1775,815,1697,861,1697,861,1775
32,../Crop_Reports/Bengal Crop Reports PNG/calcgaz1912_folder_14\calcgaz1912_page_1840.png,favourable,818,1656,817,1427,857,1427,858,1656
33,../Crop_Reports/Bengal Crop Reports PNG/calcgaz1912_folder_14\calcgaz1912_page_1840.png,pas,852,2530,854,2607,817,2608,815,2531
34,../Crop_Reports/Bengal Crop Reports PNG/calcgaz1912_folder_14\calcgaz1912_page_1840.png,f,855,1991,855,1984,902,1983,902,1990
35,../Crop_Reports/Bengal Crop Reports PNG/calcgaz1912_folder_14\calcgaz1912_page_1840.png,peb-,858,1933,856,1844,893,1843,895,1932
36,../Crop_Reports/Bengal Crop Reports PNG/calcgaz1912_folder_14\calcgaz1912_page_1840.png,bod,860,2148,860,2062,898,2062,898,2148
37,../Crop_Reports/Bengal Crop Reports PNG/calcgaz1912_folder_14\calcgaz1912_page_1840.png,of,859,2032,859,1993,896,1993,896,2032
38,../Crop_Reports/Bengal Crop Reports PNG/calcgaz1912_folder_14\calcgaz1912_page_1840.png,feb.,859,1932,859,1842,896,1842,896,1932
39,../Crop_Reports/Bengal Crop Reports PNG/calcgaz1912_folder_14\calcgaz1912_page_1840.png,repting,915,4455,914,4308,958,4308,959,4455
40,../Crop_Reports/Bengal Crop Reports PNG/calcgaz1912_folder_14\calcgaz1912_page_1840.png,tl).,913,4292,913,4208,955,4208,955,4292
41,../Crop_Reports/Bengal Crop Reports PNG/calcgaz1912_folder_14\calcgaz1912_page_1840.png,tolal,1043,4331,1043,4226,1080,4226,1080,4331
42,../Crop_Reports/Bengal Crop Reports PNG/calcgaz1912_folder_14\calcgaz1912_page_1840.png,58,1045,3061,1044,3016,1077,3015,1078,3060
43,../Crop_Reports/Bengal Crop Reports PNG/calcgaz1912_folder_14\calcgaz1912_page_1840.png,099t,1078,2203,1078,2300,1037,2300,1037,2203
44,../Crop_Reports/Bengal Crop Reports PNG/calcgaz1912_folder_14\calcgaz1912_page_1840.png,lnseed,1262,4489,1261,4330,1299,4330,1300,4489
45,../Crop_Reports/Bengal Crop Reports PNG/calcgaz1912_folder_14\calcgaz1912_page_1840.png,157,1257,2262,1258,2201,1295,2201,1294,2262
46,../Crop_Reports/Bengal Crop Reports PNG/calcgaz1912_folder_14\calcgaz1912_page_1840.png,not,1250,2152,1251,2065,1299,2065,1298,2152
47,../Crop_Reports/Bengal Crop Reports PNG/calcgaz1912_folder_14\calcgaz1912_page_1840.png,yet,1251,2054,1252,1992,1300,1992,1299,2054
48,../Crop_Reports/Bengal Crop Reports PNG/calcgaz1912_folder_14\calcgaz1912_page_1840.png,begun,1251,1975,1252,1823,1301,1823,1300,1975
49,../Crop_Reports/Bengal Crop Reports PNG/calcgaz1912_folder_14\calcgaz1912_page_1840.png,the,1259,1804,1260,1725,1295,1725,1294,1804
50,../Crop_Reports/Bengal Crop Reports PNG/calcgaz1912_folder_14\calcgaz1912_page_1840.png,wenther,1262,1670,1263,1503,1298,1503,1297,1670
51,../Crop_Reports/Bengal Crop Reports PNG/calcgaz1912_folder_14\calcgaz1912_page_1840.png,w.,1271,1457,1271,1407,1296,1407,1296,1457
52,../Crop_Reports/Bengal Crop Reports PNG/calcgaz1912_folder_14\calcgaz1912_page_1840.png,dot,1269,1314,1269,1246,1300,1246,1300,1314
53,../Crop_Reports/Bengal Crop Reports PNG/calcgaz1912_folder_14\calcgaz1912_page_1840.png,76,1296,3016,1296,3059,1263,3059,1263,3016
54,../Crop_Reports/Bengal Crop Reports PNG/calcgaz1912_folder_14\calcgaz1912_page_1840.png,favoorable,1303,1776,1304,1555,1343,1555,1342,1776
55,../Crop_Reports/Bengal Crop Reports PNG/calcgaz1912_folder_14\calcgaz1912_page_1840.png,out,1304,3440,1304,3505,1271,3505,1271,3440
56,../Crop_Reports/Bengal Crop Reports PNG/calcgaz1912_folder_14\calcgaz1912_page_1840.png,ditto,1384,2079,1387,1966,1427,1967,1424,2080
57,../Crop_Reports/Bengal Crop Reports PNG/calcgaz1912_folder_14\calcgaz1912_page_1840.png,pecjaly,1391,1778,1390,1597,1439,1597,1440,1778
58,../Crop_Reports/Bengal Crop Reports PNG/calcgaz1912_folder_14\calcgaz1912_page_1840.png,at,1397,1575,1397,1531,1431,1531,1431,1575
