sort,image,word,x1,y1,x2,y2,x3,y3,x4,y4
0,../Crop_Reports/Bengal Crop Reports PNG/calcgazette1912julysept_folder_6\calcgazette1912julysept_page_788.png,supplement,464,260,1067,260,1067,327,464,327
1,../Crop_Reports/Bengal Crop Reports PNG/calcgazette1912julysept_folder_6\calcgazette1912julysept_page_788.png,to,1092,248,1211,248,1211,323,1092,323
2,../Crop_Reports/Bengal Crop Reports PNG/calcgazette1912julysept_folder_6\calcgazette1912julysept_page_788.png,the,1252,256,1427,256,1427,319,1252,319
3,../Crop_Reports/Bengal Crop Reports PNG/calcgazette1912julysept_folder_6\calcgazette1912julysept_page_788.png,calcutta,1472,256,1915,256,1915,323,1472,323
4,../Crop_Reports/Bengal Crop Reports PNG/calcgazette1912julysept_folder_6\calcgazette1912julysept_page_788.png,gazette,1956,248,2359,248,2359,327,1956,327
5,../Crop_Reports/Bengal Crop Reports PNG/calcgazette1912julysept_folder_6\calcgazette1912julysept_page_788.png,august,2400,256,2735,256,2735,319,2400,319
6,../Crop_Reports/Bengal Crop Reports PNG/calcgazette1912julysept_folder_6\calcgazette1912julysept_page_788.png,7,2780,260,2831,260,2831,327,2780,327
7,../Crop_Reports/Bengal Crop Reports PNG/calcgazette1912julysept_folder_6\calcgazette1912julysept_page_788.png,1912.,2872,260,3035,260,3035,319,2872,319
8,../Crop_Reports/Bengal Crop Reports PNG/calcgazette1912julysept_folder_6\calcgazette1912julysept_page_788.png,1021,3314,260,3455,259,3455,316,3314,317
9,../Crop_Reports/Bengal Crop Reports PNG/calcgazette1912julysept_folder_6\calcgazette1912julysept_page_788.png,district,694,560,1115,560,1115,619,694,619
10,../Crop_Reports/Bengal Crop Reports PNG/calcgazette1912julysept_folder_6\calcgazette1912julysept_page_788.png,reports,1184,560,1611,560,1611,617,1184,617
11,../Crop_Reports/Bengal Crop Reports PNG/calcgazette1912julysept_folder_6\calcgazette1912julysept_page_788.png,on,1664,550,1847,550,1847,629,1664,629
12,../Crop_Reports/Bengal Crop Reports PNG/calcgazette1912julysept_folder_6\calcgazette1912julysept_page_788.png,weather,1874,556,2321,556,2321,613,1874,613
13,../Crop_Reports/Bengal Crop Reports PNG/calcgazette1912julysept_folder_6\calcgazette1912julysept_page_788.png,and,2390,560,2571,560,2571,615,2390,615
14,../Crop_Reports/Bengal Crop Reports PNG/calcgazette1912julysept_folder_6\calcgazette1912julysept_page_788.png,crops,2642,558,2949,558,2949,615,2642,615
15,../Crop_Reports/Bengal Crop Reports PNG/calcgazette1912julysept_folder_6\calcgazette1912julysept_page_788.png,for,948,678,1077,678,1077,733,948,733
16,../Crop_Reports/Bengal Crop Reports PNG/calcgazette1912julysept_folder_6\calcgazette1912julysept_page_788.png,the,1120,678,1223,678,1223,733,1120,733
