sort,image,word,x1,y1,x2,y2,x3,y3,x4,y4
0,../Crop_Reports/Bengal Crop Reports PNG/calcgazette1913_folder_11\calcgazette1913_page_2295.png,388,356,458,465,458,465,519,356,519
1,../Crop_Reports/Bengal Crop Reports PNG/calcgazette1913_folder_11\calcgazette1913_page_2295.png,supplement,746,453,1305,451,1305,513,746,515
2,../Crop_Reports/Bengal Crop Reports PNG/calcgazette1913_folder_11\calcgazette1913_page_2295.png,to,1347,452,1451,452,1451,511,1347,511
3,../Crop_Reports/Bengal Crop Reports PNG/calcgazette1913_folder_11\calcgazette1913_page_2295.png,the,1492,450,1668,449,1668,509,1492,510
4,../Crop_Reports/Bengal Crop Reports PNG/calcgazette1913_folder_11\calcgazette1913_page_2295.png,calcutta,1708,448,2151,446,2151,509,1708,511
5,../Crop_Reports/Bengal Crop Reports PNG/calcgazette1913_folder_11\calcgazette1913_page_2295.png,gazette,2193,447,2595,445,2595,514,2193,516
6,../Crop_Reports/Bengal Crop Reports PNG/calcgazette1913_folder_11\calcgazette1913_page_2295.png,march,2639,445,2943,444,2943,507,2639,508
7,../Crop_Reports/Bengal Crop Reports PNG/calcgazette1913_folder_11\calcgazette1913_page_2295.png,12,2987,445,3076,445,3076,514,2987,514
8,../Crop_Reports/Bengal Crop Reports PNG/calcgazette1913_folder_11\calcgazette1913_page_2295.png,1913.,3120,449,3283,448,3283,507,3120,508
9,../Crop_Reports/Bengal Crop Reports PNG/calcgazette1913_folder_11\calcgazette1913_page_2295.png,-,3398,603,3431,603,3431,614,3398,614
10,../Crop_Reports/Bengal Crop Reports PNG/calcgazette1913_folder_11\calcgazette1913_page_2295.png,district,848,751,1271,749,1271,821,848,823
11,../Crop_Reports/Bengal Crop Reports PNG/calcgazette1913_folder_11\calcgazette1913_page_2295.png,reports,1344,749,1771,747,1771,807,1344,809
12,../Crop_Reports/Bengal Crop Reports PNG/calcgazette1913_folder_11\calcgazette1913_page_2295.png,on,1820,739,1991,738,1991,818,1820,819
13,../Crop_Reports/Bengal Crop Reports PNG/calcgazette1913_folder_11\calcgazette1913_page_2295.png,weather,2028,742,2483,740,2483,816,2028,818
14,../Crop_Reports/Bengal Crop Reports PNG/calcgazette1913_folder_11\calcgazette1913_page_2295.png,and,2552,748,2735,747,2735,802,2552,803
15,../Crop_Reports/Bengal Crop Reports PNG/calcgazette1913_folder_11\calcgazette1913_page_2295.png,crops,2804,746,3115,745,3115,805,2804,806
16,../Crop_Reports/Bengal Crop Reports PNG/calcgazette1913_folder_11\calcgazette1913_page_2295.png,for,1170,906,1299,905,1299,962,1170,963
17,../Crop_Reports/Bengal Crop Reports PNG/calcgazette1913_folder_11\calcgazette1913_page_2295.png,the,1342,907,1445,907,1445,962,1342,962
18,../Crop_Reports/Bengal Crop Reports PNG/calcgazette1913_folder_11\calcgazette1913_page_2295.png,week,1484,906,1651,905,1651,963,1484,964
19,../Crop_Reports/Bengal Crop Reports PNG/calcgazette1913_folder_11\calcgazette1913_page_2295.png,emling,1686,903,1921,902,1921,974,1686,975
20,../Crop_Reports/Bengal Crop Reports PNG/calcgazette1913_folder_11\calcgazette1913_page_2295.png,on,1960,918,2051,918,2051,972,1960,972
21,../Crop_Reports/Bengal Crop Reports PNG/calcgazette1913_folder_11\calcgazette1913_page_2295.png,the,2086,902,2191,902,2191,959,2086,959
22,../Crop_Reports/Bengal Crop Reports PNG/calcgazette1913_folder_11\calcgazette1913_page_2295.png,10th,2228,901,2381,900,2381,961,2228,962
23,../Crop_Reports/Bengal Crop Reports PNG/calcgazette1913_folder_11\calcgazette1913_page_2295.png,march,2418,900,2659,899,2659,967,2418,968
24,../Crop_Reports/Bengal Crop Reports PNG/calcgazette1913_folder_11\calcgazette1913_page_2295.png,1913.,2706,905,2863,904,2863,958,2706,959
25,../Crop_Reports/Bengal Crop Reports PNG/calcgazette1913_folder_11\calcgazette1913_page_2295.png,summary.-dnring,520,1044,1239,1044,1239,1119,520,1119
26,../Crop_Reports/Bengal Crop Reports PNG/calcgazette1913_folder_11\calcgazette1913_page_2295.png,the,1292,1044,1399,1044,1399,1099,1292,1099
27,../Crop_Reports/Bengal Crop Reports PNG/calcgazette1913_folder_11\calcgazette1913_page_2295.png,week,1456,1040,1631,1040,1631,1119,1456,1119
28,../Crop_Reports/Bengal Crop Reports PNG/calcgazette1913_folder_11\calcgazette1913_page_2295.png,under,1701,1028,1911,1028,1911,1119,1701,1119
29,../Crop_Reports/Bengal Crop Reports PNG/calcgazette1913_folder_11\calcgazette1913_page_2295.png,report,1949,1028,2187,1028,2187,1119,1949,1119
30,../Crop_Reports/Bengal Crop Reports PNG/calcgazette1913_folder_11\calcgazette1913_page_2295.png,ruin,2224,1032,2395,1032,2395,1107,2224,1107
31,../Crop_Reports/Bengal Crop Reports PNG/calcgazette1913_folder_11\calcgazette1913_page_2295.png,fell,2437,1028,2587,1028,2587,1119,2437,1119
32,../Crop_Reports/Bengal Crop Reports PNG/calcgazette1913_folder_11\calcgazette1913_page_2295.png,generally,2632,1040,2963,1040,2963,1119,2632,1119
33,../Crop_Reports/Bengal Crop Reports PNG/calcgazette1913_folder_11\calcgazette1913_page_2295.png,throughout,3032,1044,3427,1044,3427,1115,3032,1115
34,../Crop_Reports/Bengal Crop Reports PNG/calcgazette1913_folder_11\calcgazette1913_page_2295.png,the,3496,1048,3603,1048,3603,1107,3496,1107
35,../Crop_Reports/Bengal Crop Reports PNG/calcgazette1913_folder_11\calcgazette1913_page_2295.png,province.,376,1126,715,1126,715,1183,376,1183
36,../Crop_Reports/Bengal Crop Reports PNG/calcgazette1913_folder_11\calcgazette1913_page_2295.png,tbe,800,1112,955,1112,955,1191,800,1191
37,../Crop_Reports/Bengal Crop Reports PNG/calcgazette1913_folder_11\calcgazette1913_page_2295.png,fall,956,1120,1069,1120,1069,1177,956,1177
38,../Crop_Reports/Bengal Crop Reports PNG/calcgazette1913_folder_11\calcgazette1913_page_2295.png,was,1100,1112,1231,1112,1231,1175,1100,1175
39,../Crop_Reports/Bengal Crop Reports PNG/calcgazette1913_folder_11\calcgazette1913_page_2295.png,heavy,1258,1120,1467,1120,1467,1189,1258,1189
40,../Crop_Reports/Bengal Crop Reports PNG/calcgazette1913_folder_11\calcgazette1913_page_2295.png,in,1492,1116,1565,1116,1565,1171,1492,1171
41,../Crop_Reports/Bengal Crop Reports PNG/calcgazette1913_folder_11\calcgazette1913_page_2295.png,parts,1594,1120,1765,1120,1765,1191,1594,1191
42,../Crop_Reports/Bengal Crop Reports PNG/calcgazette1913_folder_11\calcgazette1913_page_2295.png,of,1796,1116,1861,1116,1861,1191,1796,1191
43,../Crop_Reports/Bengal Crop Reports PNG/calcgazette1913_folder_11\calcgazette1913_page_2295.png,durjeeling,1890,1112,2275,1112,2275,1191,1890,1191
44,../Crop_Reports/Bengal Crop Reports PNG/calcgazette1913_folder_11\calcgazette1913_page_2295.png,and,2294,1114,2443,1114,2443,1191,2294,1191
45,../Crop_Reports/Bengal Crop Reports PNG/calcgazette1913_folder_11\calcgazette1913_page_2295.png,jalpaiguri,2488,1112,2847,1112,2847,1187,2488,1187
46,../Crop_Reports/Bengal Crop Reports PNG/calcgazette1913_folder_11\calcgazette1913_page_2295.png,and,2894,1112,3017,1112,3017,1173,2894,1173
47,../Crop_Reports/Bengal Crop Reports PNG/calcgazette1913_folder_11\calcgazette1913_page_2295.png,generally,3062,1112,3393,1112,3393,1191,3062,1191
48,../Crop_Reports/Bengal Crop Reports PNG/calcgazette1913_folder_11\calcgazette1913_page_2295.png,light,3440,1122,3609,1122,3609,1191,3440,1191
49,../Crop_Reports/Bengal Crop Reports PNG/calcgazette1913_folder_11\calcgazette1913_page_2295.png,to,374,1206,443,1206,443,1257,374,1257
50,../Crop_Reports/Bengal Crop Reports PNG/calcgazette1913_folder_11\calcgazette1913_page_2295.png,moderate,472,1198,795,1198,795,1257,472,1257
51,../Crop_Reports/Bengal Crop Reports PNG/calcgazette1913_folder_11\calcgazette1913_page_2295.png,elsewhere.,824,1196,1191,1196,1191,1255,824,1255
52,../Crop_Reports/Bengal Crop Reports PNG/calcgazette1913_folder_11\calcgazette1913_page_2295.png,the,1268,1192,1401,1192,1401,1247,1268,1247
53,../Crop_Reports/Bengal Crop Reports PNG/calcgazette1913_folder_11\calcgazette1913_page_2295.png,recent,1428,1186,1645,1186,1645,1249,1428,1249
54,../Crop_Reports/Bengal Crop Reports PNG/calcgazette1913_folder_11\calcgazette1913_page_2295.png,rainfall,1676,1190,1935,1190,1935,1247,1676,1247
55,../Crop_Reports/Bengal Crop Reports PNG/calcgazette1913_folder_11\calcgazette1913_page_2295.png,has,1964,1188,2075,1188,2075,1245,1964,1245
56,../Crop_Reports/Bengal Crop Reports PNG/calcgazette1913_folder_11\calcgazette1913_page_2295.png,damaged,2122,1186,2429,1186,2429,1259,2122,1259
57,../Crop_Reports/Bengal Crop Reports PNG/calcgazette1913_folder_11\calcgazette1913_page_2295.png,mango,2478,1186,2707,1186,2707,1261,2478,1261
58,../Crop_Reports/Bengal Crop Reports PNG/calcgazette1913_folder_11\calcgazette1913_page_2295.png,blossoms,2764,1186,3065,1186,3065,1261,2764,1261
59,../Crop_Reports/Bengal Crop Reports PNG/calcgazette1913_folder_11\calcgazette1913_page_2295.png,in,3110,1194,3179,1194,3179,1249,3110,1249
60,../Crop_Reports/Bengal Crop Reports PNG/calcgazette1913_folder_11\calcgazette1913_page_2295.png,malda,3228,1186,3437,1186,3437,1251,3228,1251
61,../Crop_Reports/Bengal Crop Reports PNG/calcgazette1913_folder_11\calcgazette1913_page_2295.png,and,3480,1186,3609,1186,3609,1255,3480,1255
62,../Crop_Reports/Bengal Crop Reports PNG/calcgazette1913_folder_11\calcgazette1913_page_2295.png,hooghly,380,1272,687,1272,687,1343,380,1343
63,../Crop_Reports/Bengal Crop Reports PNG/calcgazette1913_folder_11\calcgazette1913_page_2295.png,and,720,1272,843,1272,843,1331,720,1331
64,../Crop_Reports/Bengal Crop Reports PNG/calcgazette1913_folder_11\calcgazette1913_page_2295.png,has,876,1272,987,1272,987,1327,876,1327
65,../Crop_Reports/Bengal Crop Reports PNG/calcgazette1913_folder_11\calcgazette1913_page_2295.png,injured,1020,1268,1271,1268,1271,1339,1020,1339
66,../Crop_Reports/Bengal Crop Reports PNG/calcgazette1913_folder_11\calcgazette1913_page_2295.png,the,1328,1264,1439,1264,1439,1323,1328,1323
67,../Crop_Reports/Bengal Crop Reports PNG/calcgazette1913_folder_11\calcgazette1913_page_2295.png,prospects,1492,1268,1815,1268,1815,1343,1492,1343
68,../Crop_Reports/Bengal Crop Reports PNG/calcgazette1913_folder_11\calcgazette1913_page_2295.png,of,1872,1264,1939,1264,1939,1319,1872,1319
69,../Crop_Reports/Bengal Crop Reports PNG/calcgazette1913_folder_11\calcgazette1913_page_2295.png,rabi,1991,1260,2139,1260,2139,1339,1991,1339
70,../Crop_Reports/Bengal Crop Reports PNG/calcgazette1913_folder_11\calcgazette1913_page_2295.png,crops,2187,1260,2379,1260,2379,1339,2187,1339
71,../Crop_Reports/Bengal Crop Reports PNG/calcgazette1913_folder_11\calcgazette1913_page_2295.png,in,2411,1260,2519,1260,2519,1339,2411,1339
72,../Crop_Reports/Bengal Crop Reports PNG/calcgazette1913_folder_11\calcgazette1913_page_2295.png,some,2548,1260,2719,1260,2719,1343,2548,1343
73,../Crop_Reports/Bengal Crop Reports PNG/calcgazette1913_folder_11\calcgazette1913_page_2295.png,places.,2780,1264,3007,1264,3007,1343,2780,1343
74,../Crop_Reports/Bengal Crop Reports PNG/calcgazette1913_folder_11\calcgazette1913_page_2295.png,preparation,3084,1268,3495,1268,3495,1339,3084,1339
75,../Crop_Reports/Bengal Crop Reports PNG/calcgazette1913_folder_11\calcgazette1913_page_2295.png,of,3548,1272,3611,1272,3611,1331,3548,1331
76,../Crop_Reports/Bengal Crop Reports PNG/calcgazette1913_folder_11\calcgazette1913_page_2295.png,fields,380,1336,565,1336,565,1411,380,1411
77,../Crop_Reports/Bengal Crop Reports PNG/calcgazette1913_folder_11\calcgazette1913_page_2295.png,for,616,1336,717,1336,717,1405,616,1405
78,../Crop_Reports/Bengal Crop Reports PNG/calcgazette1913_folder_11\calcgazette1913_page_2295.png,bhadoi,758,1348,995,1348,995,1405,758,1405
79,../Crop_Reports/Bengal Crop Reports PNG/calcgazette1913_folder_11\calcgazette1913_page_2295.png,paddy,1022,1336,1233,1336,1233,1415,1022,1415
80,../Crop_Reports/Bengal Crop Reports PNG/calcgazette1913_folder_11\calcgazette1913_page_2295.png,and,1262,1344,1381,1344,1381,1399,1262,1399
