sort,image,word,x1,y1,x2,y2,x3,y3,x4,y4
0,../Crop_Reports/Bengal Crop Reports PNG/calcgazette1913p2_folder_6\calcgazette1913p2_page_2001.png,580,286,282,411,285,410,340,285,337
1,../Crop_Reports/Bengal Crop Reports PNG/calcgazette1913p2_folder_6\calcgazette1913p2_page_2001.png,supplement,820,278,1429,273,1429,334,821,339
2,../Crop_Reports/Bengal Crop Reports PNG/calcgazette1913p2_folder_6\calcgazette1913p2_page_2001.png,to,1474,276,1587,275,1587,330,1474,331
3,../Crop_Reports/Bengal Crop Reports PNG/calcgazette1913p2_folder_6\calcgazette1913p2_page_2001.png,th,1628,263,1737,262,1738,337,1629,338
4,../Crop_Reports/Bengal Crop Reports PNG/calcgazette1913p2_folder_6\calcgazette1913p2_page_2001.png,,1880,261,1927,261,1928,336,1881,336
5,../Crop_Reports/Bengal Crop Reports PNG/calcgazette1913p2_folder_6\calcgazette1913p2_page_2001.png,alout,1929,260,2421,256,2422,332,1930,336
6,../Crop_Reports/Bengal Crop Reports PNG/calcgazette1913p2_folder_6\calcgazette1913p2_page_2001.png,gazette,2423,256,2877,252,2878,328,2424,332
7,../Crop_Reports/Bengal Crop Reports PNG/calcgazette1913p2_folder_6\calcgazette1913p2_page_2001.png,my.,2886,259,3111,257,3111,318,2887,320
8,../Crop_Reports/Bengal Crop Reports PNG/calcgazette1913p2_folder_6\calcgazette1913p2_page_2001.png,14,3138,257,3237,256,3238,325,3139,326
9,../Crop_Reports/Bengal Crop Reports PNG/calcgazette1913p2_folder_6\calcgazette1913p2_page_2001.png,1913.,3282,257,3461,256,3461,314,3282,315
10,../Crop_Reports/Bengal Crop Reports PNG/calcgazette1913p2_folder_6\calcgazette1913p2_page_2001.png,district,802,570,1261,570,1261,629,802,629
11,../Crop_Reports/Bengal Crop Reports PNG/calcgazette1913p2_folder_6\calcgazette1913p2_page_2001.png,report,1397,558,1731,558,1731,633,1397,633
12,../Crop_Reports/Bengal Crop Reports PNG/calcgazette1913p2_folder_6\calcgazette1913p2_page_2001.png,s,1877,558,1951,558,1951,633,1877,633
13,../Crop_Reports/Bengal Crop Reports PNG/calcgazette1913p2_folder_6\calcgazette1913p2_page_2001.png,on,1981,558,2029,558,2029,633,1981,633
