sort,image,word,x1,y1,x2,y2,x3,y3,x4,y4
0,../Crop_Reports/Bengal Crop Reports PNG/calcgazt1913pt4_folder_7\calcgazt1913pt4_page_1517.png,regibterid,615,257,1239,268,1237,379,613,368
1,../Crop_Reports/Bengal Crop Reports PNG/calcgazt1913pt4_folder_7\calcgazt1913pt4_page_1517.png,no.,1339,270,1519,273,1517,384,1337,381
2,../Crop_Reports/Bengal Crop Reports PNG/calcgazt1913pt4_folder_7\calcgazt1913pt4_page_1517.png,o,1543,274,1595,275,1593,386,1541,385
3,../Crop_Reports/Bengal Crop Reports PNG/calcgazt1913pt4_folder_7\calcgazt1913pt4_page_1517.png,,667,277,745,279,743,373,665,371
4,../Crop_Reports/Bengal Crop Reports PNG/calcgazt1913pt4_folder_7\calcgazt1913pt4_page_1517.png,,747,279,792,280,790,374,745,373
5,../Crop_Reports/Bengal Crop Reports PNG/calcgazt1913pt4_folder_7\calcgazt1913pt4_page_1517.png,no.,2883,304,3087,304,3087,383,2883,383
6,../Crop_Reports/Bengal Crop Reports PNG/calcgazt1913pt4_folder_7\calcgazt1913pt4_page_1517.png,47,3056,312,3171,312,3171,379,3056,379
7,../Crop_Reports/Bengal Crop Reports PNG/calcgazt1913pt4_folder_7\calcgazt1913pt4_page_1517.png,of,3228,316,3363,316,3363,379,3228,379
8,../Crop_Reports/Bengal Crop Reports PNG/calcgazt1913pt4_folder_7\calcgazt1913pt4_page_1517.png,1912,3404,316,3611,316,3611,383,3404,383
9,../Crop_Reports/Bengal Crop Reports PNG/calcgazt1913pt4_folder_7\calcgazt1913pt4_page_1517.png,the,671,1465,1190,1485,1178,1776,660,1756
10,../Crop_Reports/Bengal Crop Reports PNG/calcgazt1913pt4_folder_7\calcgazt1913pt4_page_1517.png,e,1200,1434,1295,1436,1290,1739,1195,1737
11,../Crop_Reports/Bengal Crop Reports PNG/calcgazt1913pt4_folder_7\calcgazt1913pt4_page_1517.png,calcutta,1316,1467,2428,1485,2423,1759,1311,1741
12,../Crop_Reports/Bengal Crop Reports PNG/calcgazt1913pt4_folder_7\calcgazt1913pt4_page_1517.png,gazette,2544,1472,3515,1483,3511,1818,2540,1807
