sort,image,word,x1,y1,x2,y2,x3,y3,x4,y4
0,../Crop_Reports/Bengal Crop Reports PNG/calcgzette1912_folder_3\calcgzette1912_page_787.png,492,331,384,440,385,440,439,331,438
1,../Crop_Reports/Bengal Crop Reports PNG/calcgzette1912_folder_3\calcgzette1912_page_787.png,supplement,856,372,1411,369,1411,432,856,435
2,../Crop_Reports/Bengal Crop Reports PNG/calcgzette1912_folder_3\calcgzette1912_page_787.png,to,1452,365,1559,364,1559,427,1452,428
3,../Crop_Reports/Bengal Crop Reports PNG/calcgzette1912_folder_3\calcgzette1912_page_787.png,the,1600,368,1779,367,1779,430,1600,431
4,../Crop_Reports/Bengal Crop Reports PNG/calcgzette1912_folder_3\calcgzette1912_page_787.png,calcutta,1820,362,2259,360,2259,428,1820,430
5,../Crop_Reports/Bengal Crop Reports PNG/calcgzette1912_folder_3\calcgzette1912_page_787.png,gzette,2300,356,2707,354,2707,430,2300,432
6,../Crop_Reports/Bengal Crop Reports PNG/calcgzette1912_folder_3\calcgzette1912_page_787.png,april,2752,354,3011,353,3011,424,2752,425
7,../Crop_Reports/Bengal Crop Reports PNG/calcgzette1912_folder_3\calcgzette1912_page_787.png,24,3052,364,3139,364,3139,427,3052,427
8,../Crop_Reports/Bengal Crop Reports PNG/calcgzette1912_folder_3\calcgzette1912_page_787.png,1912.,3184,359,3351,358,3351,418,3184,419
9,../Crop_Reports/Bengal Crop Reports PNG/calcgzette1912_folder_3\calcgzette1912_page_787.png,district,820,656,1241,656,1241,713,820,713
10,../Crop_Reports/Bengal Crop Reports PNG/calcgzette1912_folder_3\calcgzette1912_page_787.png,reports,1312,654,1745,654,1745,711,1312,711
11,../Crop_Reports/Bengal Crop Reports PNG/calcgzette1912_folder_3\calcgzette1912_page_787.png,on,1806,642,1961,642,1961,721,1806,721
12,../Crop_Reports/Bengal Crop Reports PNG/calcgzette1912_folder_3\calcgzette1912_page_787.png,weather,2006,650,2455,650,2455,709,2006,709
13,../Crop_Reports/Bengal Crop Reports PNG/calcgzette1912_folder_3\calcgzette1912_page_787.png,and,2524,654,2709,654,2709,709,2524,709
14,../Crop_Reports/Bengal Crop Reports PNG/calcgzette1912_folder_3\calcgzette1912_page_787.png,crops,2778,652,3089,652,3089,709,2778,709
15,../Crop_Reports/Bengal Crop Reports PNG/calcgzette1912_folder_3\calcgzette1912_page_787.png,for,1150,808,1281,808,1281,861,1150,861
16,../Crop_Reports/Bengal Crop Reports PNG/calcgzette1912_folder_3\calcgzette1912_page_787.png,the,1322,808,1427,808,1427,861,1322,861
17,../Crop_Reports/Bengal Crop Reports PNG/calcgzette1912_folder_3\calcgzette1912_page_787.png,week,1470,810,1637,810,1637,863,1470,863
18,../Crop_Reports/Bengal Crop Reports PNG/calcgzette1912_folder_3\calcgzette1912_page_787.png,enling,1674,808,1909,808,1909,875,1674,875
19,../Crop_Reports/Bengal Crop Reports PNG/calcgzette1912_folder_3\calcgzette1912_page_787.png,om,1948,824,2025,824,2025,859,1948,859
20,../Crop_Reports/Bengal Crop Reports PNG/calcgzette1912_folder_3\calcgzette1912_page_787.png,the,2072,804,2175,804,2175,859,2072,859
21,../Crop_Reports/Bengal Crop Reports PNG/calcgzette1912_folder_3\calcgzette1912_page_787.png,22nd,2212,806,2379,806,2379,859,2212,859
22,../Crop_Reports/Bengal Crop Reports PNG/calcgzette1912_folder_3\calcgzette1912_page_787.png,.1pril,2418,806,2619,806,2619,873,2418,873
23,../Crop_Reports/Bengal Crop Reports PNG/calcgzette1912_folder_3\calcgzette1912_page_787.png,1912.,2660,806,2821,806,2821,861,2660,861
24,../Crop_Reports/Bengal Crop Reports PNG/calcgzette1912_folder_3\calcgzette1912_page_787.png,summary-rainfall,482,921,1223,918,1223,984,482,987
25,../Crop_Reports/Bengal Crop Reports PNG/calcgzette1912_folder_3\calcgzette1912_page_787.png,in,1274,923,1333,923,1333,972,1274,972
26,../Crop_Reports/Bengal Crop Reports PNG/calcgzette1912_folder_3\calcgzette1912_page_787.png,presidency,1358,914,1773,912,1773,986,1358,988
27,../Crop_Reports/Bengal Crop Reports PNG/calcgzette1912_folder_3\calcgzette1912_page_787.png,and,1818,920,1933,920,1933,972,1818,972
28,../Crop_Reports/Bengal Crop Reports PNG/calcgzette1912_folder_3\calcgzette1912_page_787.png,burdwan,2006,913,2319,912,2319,968,2006,969
29,../Crop_Reports/Bengal Crop Reports PNG/calcgzette1912_folder_3\calcgzette1912_page_787.png,divisions,2356,912,2689,911,2689,969,2356,970
30,../Crop_Reports/Bengal Crop Reports PNG/calcgzette1912_folder_3\calcgzette1912_page_787.png,has,2746,916,2859,916,2859,970,2746,970
31,../Crop_Reports/Bengal Crop Reports PNG/calcgzette1912_folder_3\calcgzette1912_page_787.png,been,2908,918,3065,917,3065,972,2908,973
32,../Crop_Reports/Bengal Crop Reports PNG/calcgzette1912_folder_3\calcgzette1912_page_787.png,moderate;,3108,917,3471,916,3471,980,3108,981
33,../Crop_Reports/Bengal Crop Reports PNG/calcgzette1912_folder_3\calcgzette1912_page_787.png,in,3530,922,3593,922,3593,973,3530,973
34,../Crop_Reports/Bengal Crop Reports PNG/calcgzette1912_folder_3\calcgzette1912_page_787.png,eastern,334,1001,595,997,596,1051,335,1055
35,../Crop_Reports/Bengal Crop Reports PNG/calcgzette1912_folder_3\calcgzette1912_page_787.png,bengal,666,997,889,994,890,1060,667,1063
36,../Crop_Reports/Bengal Crop Reports PNG/calcgzette1912_folder_3\calcgzette1912_page_787.png,it,968,995,1009,994,1010,1043,969,1044
37,../Crop_Reports/Bengal Crop Reports PNG/calcgzette1912_folder_3\calcgzette1912_page_787.png,has,1090,993,1197,991,1198,1042,1091,1044
38,../Crop_Reports/Bengal Crop Reports PNG/calcgzette1912_folder_3\calcgzette1912_page_787.png,prospects,336,1054,657,1054,657,1139,336,1139
39,../Crop_Reports/Bengal Crop Reports PNG/calcgzette1912_folder_3\calcgzette1912_page_787.png,of,688,1068,751,1068,751,1117,688,1117
40,../Crop_Reports/Bengal Crop Reports PNG/calcgzette1912_folder_3\calcgzette1912_page_787.png,jute,796,1054,937,1054,937,1139,796,1139
41,../Crop_Reports/Bengal Crop Reports PNG/calcgzette1912_folder_3\calcgzette1912_page_787.png,and,986,1064,1105,1064,1105,1139,986,1139
42,../Crop_Reports/Bengal Crop Reports PNG/calcgzette1912_folder_3\calcgzette1912_page_787.png,aus,1166,1078,1297,1078,1297,1139,1166,1139
