sort,image,word,x1,y1,x2,y2,x3,y3,x4,y4
0,../Crop_Reports/Bengal Crop Reports PNG/calcutta_gazette_else_folder_21\calcutta_gazette_else_page_2411.png,1814,238,405,371,398,374,460,241,467
1,../Crop_Reports/Bengal Crop Reports PNG/calcutta_gazette_else_folder_21\calcutta_gazette_else_page_2411.png,supplement,660,395,1195,389,1196,465,661,471
2,../Crop_Reports/Bengal Crop Reports PNG/calcutta_gazette_else_folder_21\calcutta_gazette_else_page_2411.png,to,1216,390,1311,389,1312,452,1217,453
3,../Crop_Reports/Bengal Crop Reports PNG/calcutta_gazette_else_folder_21\calcutta_gazette_else_page_2411.png,the,1352,388,1527,386,1528,454,1353,456
4,../Crop_Reports/Bengal Crop Reports PNG/calcutta_gazette_else_folder_21\calcutta_gazette_else_page_2411.png,oaloutta,1548,382,1947,378,1948,450,1549,454
5,../Crop_Reports/Bengal Crop Reports PNG/calcutta_gazette_else_folder_21\calcutta_gazette_else_page_2411.png,gazette,1992,386,2363,382,2364,454,1993,458
6,../Crop_Reports/Bengal Crop Reports PNG/calcutta_gazette_else_folder_21\calcutta_gazette_else_page_2411.png,september,2376,374,2871,369,2872,449,2377,454
7,../Crop_Reports/Bengal Crop Reports PNG/calcutta_gazette_else_folder_21\calcutta_gazette_else_page_2411.png,28,2892,381,2987,380,2988,447,2893,448
8,../Crop_Reports/Bengal Crop Reports PNG/calcutta_gazette_else_folder_21\calcutta_gazette_else_page_2411.png,1910.,3012,372,3183,370,3184,437,3013,439
9,../Crop_Reports/Bengal Crop Reports PNG/calcutta_gazette_else_folder_21\calcutta_gazette_else_page_2411.png,weathlb,1334,653,1709,651,1709,709,1334,711
10,../Crop_Reports/Bengal Crop Reports PNG/calcutta_gazette_else_folder_21\calcutta_gazette_else_page_2411.png,and,1774,653,1927,652,1927,710,1774,711
11,../Crop_Reports/Bengal Crop Reports PNG/calcutta_gazette_else_folder_21\calcutta_gazette_else_page_2411.png,grop,1992,645,2179,644,2179,708,1992,709
12,../Crop_Reports/Bengal Crop Reports PNG/calcutta_gazette_else_folder_21\calcutta_gazette_else_page_2411.png,.,2244,648,2557,646,2557,704,2244,706
13,../Crop_Reports/Bengal Crop Reports PNG/calcutta_gazette_else_folder_21\calcutta_gazette_else_page_2411.png,for,1266,815,1361,814,1361,864,1266,865
14,../Crop_Reports/Bengal Crop Reports PNG/calcutta_gazette_else_folder_21\calcutta_gazette_else_page_2411.png,the,1400,815,1479,814,1479,865,1400,866
15,../Crop_Reports/Bengal Crop Reports PNG/calcutta_gazette_else_folder_21\calcutta_gazette_else_page_2411.png,wbek,1534,814,1649,813,1649,860,1534,861
16,../Crop_Reports/Bengal Crop Reports PNG/calcutta_gazette_else_folder_21\calcutta_gazette_else_page_2411.png,milng,1700,817,1875,816,1875,867,1700,868
17,../Crop_Reports/Bengal Crop Reports PNG/calcutta_gazette_else_folder_21\calcutta_gazette_else_page_2411.png,the,1926,805,2001,804,2001,855,1926,856
18,../Crop_Reports/Bengal Crop Reports PNG/calcutta_gazette_else_folder_21\calcutta_gazette_else_page_2411.png,26th,2054,806,2177,805,2177,857,2054,858
19,../Crop_Reports/Bengal Crop Reports PNG/calcutta_gazette_else_folder_21\calcutta_gazette_else_page_2411.png,septomhr,2230,801,2511,799,2511,868,2230,870
