sort,image,word,x1,y1,x2,y2,x3,y3,x4,y4
0,../Crop_Reports/Bengal Crop Reports PNG/calcutta_gazette_jan_aug_1910_folder_18\calcutta_gazette_jan_aug_1910_page_478.png,bupplement,742,378,1289,378,1289,435,742,435
1,../Crop_Reports/Bengal Crop Reports PNG/calcutta_gazette_jan_aug_1910_folder_18\calcutta_gazette_jan_aug_1910_page_478.png,to,1332,376,1433,376,1433,429,1332,429
2,../Crop_Reports/Bengal Crop Reports PNG/calcutta_gazette_jan_aug_1910_folder_18\calcutta_gazette_jan_aug_1910_page_478.png,the,1476,376,1647,376,1647,429,1476,429
3,../Crop_Reports/Bengal Crop Reports PNG/calcutta_gazette_jan_aug_1910_folder_18\calcutta_gazette_jan_aug_1910_page_478.png,ualoutta,1688,372,2121,372,2121,427,1688,427
4,../Crop_Reports/Bengal Crop Reports PNG/calcutta_gazette_jan_aug_1910_folder_18\calcutta_gazette_jan_aug_1910_page_478.png,gazette,2168,372,2561,372,2561,433,2168,433
5,../Crop_Reports/Bengal Crop Reports PNG/calcutta_gazette_jan_aug_1910_folder_18\calcutta_gazette_jan_aug_1910_page_478.png,july,2606,374,2825,374,2825,429,2606,429
6,../Crop_Reports/Bengal Crop Reports PNG/calcutta_gazette_jan_aug_1910_folder_18\calcutta_gazette_jan_aug_1910_page_478.png,13,2870,376,2957,376,2957,435,2870,435
7,../Crop_Reports/Bengal Crop Reports PNG/calcutta_gazette_jan_aug_1910_folder_18\calcutta_gazette_jan_aug_1910_page_478.png,1910.,3010,378,3165,378,3165,427,3010,427
8,../Crop_Reports/Bengal Crop Reports PNG/calcutta_gazette_jan_aug_1910_folder_18\calcutta_gazette_jan_aug_1910_page_478.png,949,3588,383,3691,382,3691,429,3588,430
9,../Crop_Reports/Bengal Crop Reports PNG/calcutta_gazette_jan_aug_1910_folder_18\calcutta_gazette_jan_aug_1910_page_478.png,-,1043,530,1051,530,1051,539,1043,539
10,../Crop_Reports/Bengal Crop Reports PNG/calcutta_gazette_jan_aug_1910_folder_18\calcutta_gazette_jan_aug_1910_page_478.png,---,1153,529,1175,529,1175,538,1153,538
11,../Crop_Reports/Bengal Crop Reports PNG/calcutta_gazette_jan_aug_1910_folder_18\calcutta_gazette_jan_aug_1910_page_478.png,*,1033,541,1039,541,1039,548,1033,548
12,../Crop_Reports/Bengal Crop Reports PNG/calcutta_gazette_jan_aug_1910_folder_18\calcutta_gazette_jan_aug_1910_page_478.png,---,1073,540,1089,540,1089,547,1073,547
13,../Crop_Reports/Bengal Crop Reports PNG/calcutta_gazette_jan_aug_1910_folder_18\calcutta_gazette_jan_aug_1910_page_478.png,--,1122,539,1138,539,1138,546,1122,546
14,../Crop_Reports/Bengal Crop Reports PNG/calcutta_gazette_jan_aug_1910_folder_18\calcutta_gazette_jan_aug_1910_page_478.png,weather,1383,628,1780,628,1780,683,1383,683
15,../Crop_Reports/Bengal Crop Reports PNG/calcutta_gazette_jan_aug_1910_folder_18\calcutta_gazette_jan_aug_1910_page_478.png,and,1789,622,2037,622,2037,693,1789,693
16,../Crop_Reports/Bengal Crop Reports PNG/calcutta_gazette_jan_aug_1910_folder_18\calcutta_gazette_jan_aug_1910_page_478.png,cro,2087,626,2283,626,2283,687,2087,687
17,../Crop_Reports/Bengal Crop Reports PNG/calcutta_gazette_jan_aug_1910_folder_18\calcutta_gazette_jan_aug_1910_page_478.png,,2377,622,2409,622,2409,693,2377,693
18,../Crop_Reports/Bengal Crop Reports PNG/calcutta_gazette_jan_aug_1910_folder_18\calcutta_gazette_jan_aug_1910_page_478.png,r.,2411,622,2697,622,2697,693,2411,693
19,../Crop_Reports/Bengal Crop Reports PNG/calcutta_gazette_jan_aug_1910_folder_18\calcutta_gazette_jan_aug_1910_page_478.png,for,1370,815,1465,817,1464,867,1369,865
