sort,image,word,x1,y1,x2,y2,x3,y3,x4,y4
0,../Crop_Reports/Bengal Crop Reports PNG/calcutta_gazette_something_folder_24\calcutta_gazette_something_page_1789.png,1768,596,380,753,379,753,428,596,429
1,../Crop_Reports/Bengal Crop Reports PNG/calcutta_gazette_something_folder_24\calcutta_gazette_something_page_1789.png,he,1230,366,1457,366,1457,441,1230,441
2,../Crop_Reports/Bengal Crop Reports PNG/calcutta_gazette_something_folder_24\calcutta_gazette_something_page_1789.png,caloutta,1460,366,1951,366,1951,441,1460,441
3,../Crop_Reports/Bengal Crop Reports PNG/calcutta_gazette_something_folder_24\calcutta_gazette_something_page_1789.png,gazette,1950,376,2383,376,2383,439,1950,439
4,../Crop_Reports/Bengal Crop Reports PNG/calcutta_gazette_something_folder_24\calcutta_gazette_something_page_1789.png,deber,2430,376,2923,376,2923,433,2430,433
5,../Crop_Reports/Bengal Crop Reports PNG/calcutta_gazette_something_folder_24\calcutta_gazette_something_page_1789.png,21,2976,380,3075,380,3075,439,2976,439
6,../Crop_Reports/Bengal Crop Reports PNG/calcutta_gazette_something_folder_24\calcutta_gazette_something_page_1789.png,1910.,3138,384,3309,384,3309,433,3138,433
7,../Crop_Reports/Bengal Crop Reports PNG/calcutta_gazette_something_folder_24\calcutta_gazette_something_page_1789.png,[part,3576,380,3795,379,3795,450,3576,451
8,../Crop_Reports/Bengal Crop Reports PNG/calcutta_gazette_something_folder_24\calcutta_gazette_something_page_1789.png,i,3840,387,3871,387,3871,438,3840,438
9,../Crop_Reports/Bengal Crop Reports PNG/calcutta_gazette_something_folder_24\calcutta_gazette_something_page_1789.png,2.,752,616,808,616,808,665,752,665
10,../Crop_Reports/Bengal Crop Reports PNG/calcutta_gazette_something_folder_24\calcutta_gazette_something_page_1789.png,the,896,614,1034,614,1034,665,896,665
11,../Crop_Reports/Bengal Crop Reports PNG/calcutta_gazette_something_folder_24\calcutta_gazette_something_page_1789.png,application,1089,614,1470,614,1470,680,1089,680
12,../Crop_Reports/Bengal Crop Reports PNG/calcutta_gazette_something_folder_24\calcutta_gazette_something_page_1789.png,shall,1514,615,1673,615,1673,665,1514,665
