sort,image,word,x1,y1,x2,y2,x3,y3,x4,y4
0,../Crop_Reports/Bengal Crop Reports PNG/calcutta_gazette_vol_4a_1_folder_0\calcutta_gazette_vol_4a_1_page_437.png,406,919,562,1011,561,1012,605,920,606
1,../Crop_Reports/Bengal Crop Reports PNG/calcutta_gazette_vol_4a_1_folder_0\calcutta_gazette_vol_4a_1_page_437.png,the,1415,552,1593,551,1593,616,1415,617
2,../Crop_Reports/Bengal Crop Reports PNG/calcutta_gazette_vol_4a_1_folder_0\calcutta_gazette_vol_4a_1_page_437.png,caloutta,1595,550,1989,548,1989,614,1595,616
3,../Crop_Reports/Bengal Crop Reports PNG/calcutta_gazette_vol_4a_1_folder_0\calcutta_gazette_vol_4a_1_page_437.png,gazet,1991,548,2329,546,2329,612,1991,614
4,../Crop_Reports/Bengal Crop Reports PNG/calcutta_gazette_vol_4a_1_folder_0\calcutta_gazette_vol_4a_1_page_437.png,pril,2332,552,2549,551,2549,601,2332,602
5,../Crop_Reports/Bengal Crop Reports PNG/calcutta_gazette_vol_4a_1_folder_0\calcutta_gazette_vol_4a_1_page_437.png,13,2586,555,2657,555,2657,610,2586,610
6,../Crop_Reports/Bengal Crop Reports PNG/calcutta_gazette_vol_4a_1_folder_0\calcutta_gazette_vol_4a_1_page_437.png,1910.,2698,556,2835,555,2835,601,2698,602
7,../Crop_Reports/Bengal Crop Reports PNG/calcutta_gazette_vol_4a_1_folder_0\calcutta_gazette_vol_4a_1_page_437.png,[,3092,553,3261,548,3263,612,3094,617
8,../Crop_Reports/Bengal Crop Reports PNG/calcutta_gazette_vol_4a_1_folder_0\calcutta_gazette_vol_4a_1_page_437.png,iva,3282,554,3407,550,3408,601,3283,605
9,../Crop_Reports/Bengal Crop Reports PNG/calcutta_gazette_vol_4a_1_folder_0\calcutta_gazette_vol_4a_1_page_437.png,common,922,794,1174,793,1174,828,922,829
10,../Crop_Reports/Bengal Crop Reports PNG/calcutta_gazette_vol_4a_1_folder_0\calcutta_gazette_vol_4a_1_page_437.png,when,1202,777,1357,776,1357,829,1202,830
11,../Crop_Reports/Bengal Crop Reports PNG/calcutta_gazette_vol_4a_1_folder_0\calcutta_gazette_vol_4a_1_page_437.png,people,1386,775,1605,774,1605,842,1386,843
12,../Crop_Reports/Bengal Crop Reports PNG/calcutta_gazette_vol_4a_1_folder_0\calcutta_gazette_vol_4a_1_page_437.png,especially,1620,771,1937,770,1937,842,1620,843
13,../Crop_Reports/Bengal Crop Reports PNG/calcutta_gazette_vol_4a_1_folder_0\calcutta_gazette_vol_4a_1_page_437.png,ignorant,1962,769,2227,768,2227,836,1962,837
14,../Crop_Reports/Bengal Crop Reports PNG/calcutta_gazette_vol_4a_1_folder_0\calcutta_gazette_vol_4a_1_page_437.png,people,2252,767,2445,766,2445,837,2252,838
15,../Crop_Reports/Bengal Crop Reports PNG/calcutta_gazette_vol_4a_1_folder_0\calcutta_gazette_vol_4a_1_page_437.png,from,2470,766,2617,765,2617,838,2470,839
16,../Crop_Reports/Bengal Crop Reports PNG/calcutta_gazette_vol_4a_1_folder_0\calcutta_gazette_vol_4a_1_page_437.png,the,2644,767,2741,767,2741,838,2644,838
17,../Crop_Reports/Bengal Crop Reports PNG/calcutta_gazette_vol_4a_1_folder_0\calcutta_gazette_vol_4a_1_page_437.png,mufassal,2768,772,3033,771,3033,837,2768,838
