sort,image,word,x1,y1,x2,y2,x3,y3,x4,y4
0,../Crop_Reports/Bengal Crop Reports PNG/cg1916p3_folder_8\cg1916p3_page_1098.png,supplement,740,386,1301,386,1301,445,740,445
1,../Crop_Reports/Bengal Crop Reports PNG/cg1916p3_folder_8\cg1916p3_page_1098.png,to,1344,386,1447,386,1447,439,1344,439
2,../Crop_Reports/Bengal Crop Reports PNG/cg1916p3_folder_8\cg1916p3_page_1098.png,the,1492,384,1671,384,1671,441,1492,441
3,../Crop_Reports/Bengal Crop Reports PNG/cg1916p3_folder_8\cg1916p3_page_1098.png,caloutta,1712,382,2145,382,2145,443,1712,443
4,../Crop_Reports/Bengal Crop Reports PNG/cg1916p3_folder_8\cg1916p3_page_1098.png,gazette,2198,384,2605,384,2605,449,2198,449
5,../Crop_Reports/Bengal Crop Reports PNG/cg1916p3_folder_8\cg1916p3_page_1098.png,feb.,2644,374,2893,374,2893,453,2644,453
6,../Crop_Reports/Bengal Crop Reports PNG/cg1916p3_folder_8\cg1916p3_page_1098.png,2,2895,374,2947,374,2947,453,2895,453
7,../Crop_Reports/Bengal Crop Reports PNG/cg1916p3_folder_8\cg1916p3_page_1098.png,1916.,2976,378,3139,378,3139,437,2976,437
8,../Crop_Reports/Bengal Crop Reports PNG/cg1916p3_folder_8\cg1916p3_page_1098.png,159,3492,378,3597,378,3597,453,3492,453
9,../Crop_Reports/Bengal Crop Reports PNG/cg1916p3_folder_8\cg1916p3_page_1098.png,---,1297,546,1346,545,1346,551,1297,552
10,../Crop_Reports/Bengal Crop Reports PNG/cg1916p3_folder_8\cg1916p3_page_1098.png,-,1896,546,1921,546,1921,552,1896,552
11,../Crop_Reports/Bengal Crop Reports PNG/cg1916p3_folder_8\cg1916p3_page_1098.png,-,1923,545,1933,545,1933,554,1923,554
12,../Crop_Reports/Bengal Crop Reports PNG/cg1916p3_folder_8\cg1916p3_page_1098.png,---,1981,544,2009,544,2009,554,1981,554
13,../Crop_Reports/Bengal Crop Reports PNG/cg1916p3_folder_8\cg1916p3_page_1098.png,-,2051,544,2059,544,2059,553,2051,553
14,../Crop_Reports/Bengal Crop Reports PNG/cg1916p3_folder_8\cg1916p3_page_1098.png,district,822,656,1245,656,1245,713,822,713
15,../Crop_Reports/Bengal Crop Reports PNG/cg1916p3_folder_8\cg1916p3_page_1098.png,reports,1324,652,1753,652,1753,709,1324,709
