sort,image,word,x1,y1,x2,y2,x3,y3,x4,y4
0,../Crop_Reports/Bengal Crop Reports PNG/yetanothercalcgaz1912part2_folder_5\yetanothercalcgaz1912part2_page_1211.png,84,500,316,623,316,623,395,500,395
1,../Crop_Reports/Bengal Crop Reports PNG/yetanothercalcgaz1912part2_folder_5\yetanothercalcgaz1912part2_page_1211.png,8upplement,907,314,1587,306,1588,392,908,400
2,../Crop_Reports/Bengal Crop Reports PNG/yetanothercalcgaz1912part2_folder_5\yetanothercalcgaz1912part2_page_1211.png,to,1589,306,1715,304,1716,389,1590,391
3,../Crop_Reports/Bengal Crop Reports PNG/yetanothercalcgaz1912part2_folder_5\yetanothercalcgaz1912part2_page_1211.png,the,1717,304,1887,302,1888,388,1718,390
4,../Crop_Reports/Bengal Crop Reports PNG/yetanothercalcgaz1912part2_folder_5\yetanothercalcgaz1912part2_page_1211.png,caloutta,1906,315,2349,310,2350,380,1907,385
5,../Crop_Reports/Bengal Crop Reports PNG/yetanothercalcgaz1912part2_folder_5\yetanothercalcgaz1912part2_page_1211.png,gaz,2392,295,2795,290,2796,376,2393,381
6,../Crop_Reports/Bengal Crop Reports PNG/yetanothercalcgaz1912part2_folder_5\yetanothercalcgaz1912part2_page_1211.png,dec.,2832,302,3019,300,3020,366,2833,368
7,../Crop_Reports/Bengal Crop Reports PNG/yetanothercalcgaz1912part2_folder_5\yetanothercalcgaz1912part2_page_1211.png,25,3054,300,3149,299,3150,372,3055,373
8,../Crop_Reports/Bengal Crop Reports PNG/yetanothercalcgaz1912part2_folder_5\yetanothercalcgaz1912part2_page_1211.png,1912.,3190,296,3359,294,3360,365,3191,367
9,../Crop_Reports/Bengal Crop Reports PNG/yetanothercalcgaz1912part2_folder_5\yetanothercalcgaz1912part2_page_1211.png,district,958,618,1423,618,1423,691,958,691
10,../Crop_Reports/Bengal Crop Reports PNG/yetanothercalcgaz1912part2_folder_5\yetanothercalcgaz1912part2_page_1211.png,reports,1454,616,1881,616,1881,679,1454,679
11,../Crop_Reports/Bengal Crop Reports PNG/yetanothercalcgaz1912part2_folder_5\yetanothercalcgaz1912part2_page_1211.png,on,1947,608,2097,608,2097,689,1947,689
12,../Crop_Reports/Bengal Crop Reports PNG/yetanothercalcgaz1912part2_folder_5\yetanothercalcgaz1912part2_page_1211.png,weather,2148,620,2595,620,2595,677,2148,677
13,../Crop_Reports/Bengal Crop Reports PNG/yetanothercalcgaz1912part2_folder_5\yetanothercalcgaz1912part2_page_1211.png,and,2664,620,2847,620,2847,677,2664,677
14,../Crop_Reports/Bengal Crop Reports PNG/yetanothercalcgaz1912part2_folder_5\yetanothercalcgaz1912part2_page_1211.png,crops,2916,618,3225,618,3225,679,2916,679
15,../Crop_Reports/Bengal Crop Reports PNG/yetanothercalcgaz1912part2_folder_5\yetanothercalcgaz1912part2_page_1211.png,for,1268,778,1391,778,1391,835,1268,835
16,../Crop_Reports/Bengal Crop Reports PNG/yetanothercalcgaz1912part2_folder_5\yetanothercalcgaz1912part2_page_1211.png,the,1432,778,1537,778,1537,835,1432,835
17,../Crop_Reports/Bengal Crop Reports PNG/yetanothercalcgaz1912part2_folder_5\yetanothercalcgaz1912part2_page_1211.png,week,1574,780,1743,780,1743,835,1574,835
18,../Crop_Reports/Bengal Crop Reports PNG/yetanothercalcgaz1912part2_folder_5\yetanothercalcgaz1912part2_page_1211.png,ending,1780,776,2013,776,2013,849,1780,849
19,../Crop_Reports/Bengal Crop Reports PNG/yetanothercalcgaz1912part2_folder_5\yetanothercalcgaz1912part2_page_1211.png,on,2050,794,2135,794,2135,835,2050,835
20,../Crop_Reports/Bengal Crop Reports PNG/yetanothercalcgaz1912part2_folder_5\yetanothercalcgaz1912part2_page_1211.png,the,2178,774,2283,774,2283,835,2178,835
21,../Crop_Reports/Bengal Crop Reports PNG/yetanothercalcgaz1912part2_folder_5\yetanothercalcgaz1912part2_page_1211.png,23rd,2318,776,2479,776,2479,835,2318,835
22,../Crop_Reports/Bengal Crop Reports PNG/yetanothercalcgaz1912part2_folder_5\yetanothercalcgaz1912part2_page_1211.png,december,2510,776,2851,776,2851,839,2510,839
23,../Crop_Reports/Bengal Crop Reports PNG/yetanothercalcgaz1912part2_folder_5\yetanothercalcgaz1912part2_page_1211.png,1912.,2888,780,3055,780,3055,839,2888,839
24,../Crop_Reports/Bengal Crop Reports PNG/yetanothercalcgaz1912part2_folder_5\yetanothercalcgaz1912part2_page_1211.png,summury.-during,632,888,1355,888,1355,971,632,971
25,../Crop_Reports/Bengal Crop Reports PNG/yetanothercalcgaz1912part2_folder_5\yetanothercalcgaz1912part2_page_1211.png,the,1396,896,1503,896,1503,951,1396,951
26,../Crop_Reports/Bengal Crop Reports PNG/yetanothercalcgaz1912part2_folder_5\yetanothercalcgaz1912part2_page_1211.png,week,1552,892,1727,892,1727,951,1552,951
27,../Crop_Reports/Bengal Crop Reports PNG/yetanothercalcgaz1912part2_folder_5\yetanothercalcgaz1912part2_page_1211.png,under,1780,892,1991,892,1991,971,1780,971
28,../Crop_Reports/Bengal Crop Reports PNG/yetanothercalcgaz1912part2_folder_5\yetanothercalcgaz1912part2_page_1211.png,report,2044,900,2255,900,2255,971,2044,971
29,../Crop_Reports/Bengal Crop Reports PNG/yetanothercalcgaz1912part2_folder_5\yetanothercalcgaz1912part2_page_1211.png,there,2316,896,2495,896,2495,955,2316,955
