sort,image,word,x1,y1,x2,y2,x3,y3,x4,y4
0,../Crop_Reports/Bengal Crop Reports PNG/yetanothercalcgazpart11912_folder_11\yetanothercalcgazpart11912_page_1435.png,1604,322,319,469,318,469,378,322,379
1,../Crop_Reports/Bengal Crop Reports PNG/yetanothercalcgazpart11912_folder_11\yetanothercalcgazpart11912_page_1435.png,supplement,746,314,1321,314,1321,379,746,379
2,../Crop_Reports/Bengal Crop Reports PNG/yetanothercalcgazpart11912_folder_11\yetanothercalcgazpart11912_page_1435.png,to,1364,314,1471,314,1471,371,1364,371
3,../Crop_Reports/Bengal Crop Reports PNG/yetanothercalcgazpart11912_folder_11\yetanothercalcgazpart11912_page_1435.png,the,1514,312,1695,312,1695,369,1514,369
4,../Crop_Reports/Bengal Crop Reports PNG/yetanothercalcgazpart11912_folder_11\yetanothercalcgazpart11912_page_1435.png,calcutta,1736,310,2191,310,2191,371,1736,371
5,../Crop_Reports/Bengal Crop Reports PNG/yetanothercalcgazpart11912_folder_11\yetanothercalcgazpart11912_page_1435.png,gazette,2234,312,2647,312,2647,383,2234,383
6,../Crop_Reports/Bengal Crop Reports PNG/yetanothercalcgazpart11912_folder_11\yetanothercalcgazpart11912_page_1435.png,nov.,2690,314,2893,314,2893,375,2690,375
7,../Crop_Reports/Bengal Crop Reports PNG/yetanothercalcgazpart11912_folder_11\yetanothercalcgazpart11912_page_1435.png,20,2934,316,3025,316,3025,381,2934,381
8,../Crop_Reports/Bengal Crop Reports PNG/yetanothercalcgazpart11912_folder_11\yetanothercalcgazpart11912_page_1435.png,1912.,3072,314,3241,314,3241,379,3072,379
9,../Crop_Reports/Bengal Crop Reports PNG/yetanothercalcgazpart11912_folder_11\yetanothercalcgazpart11912_page_1435.png,district,812,619,1250,619,1250,678,812,678
10,../Crop_Reports/Bengal Crop Reports PNG/yetanothercalcgazpart11912_folder_11\yetanothercalcgazpart11912_page_1435.png,reports,1323,615,1763,615,1763,674,1323,674
11,../Crop_Reports/Bengal Crop Reports PNG/yetanothercalcgazpart11912_folder_11\yetanothercalcgazpart11912_page_1435.png,on,1831,617,1960,617,1960,673,1831,673
12,../Crop_Reports/Bengal Crop Reports PNG/yetanothercalcgazpart11912_folder_11\yetanothercalcgazpart11912_page_1435.png,weather,2033,617,2496,617,2496,673,2033,673
13,../Crop_Reports/Bengal Crop Reports PNG/yetanothercalcgazpart11912_folder_11\yetanothercalcgazpart11912_page_1435.png,and,2570,619,2756,619,2756,674,2570,674
14,../Crop_Reports/Bengal Crop Reports PNG/yetanothercalcgazpart11912_folder_11\yetanothercalcgazpart11912_page_1435.png,orops,2827,617,3146,617,3146,676,2827,676
15,../Crop_Reports/Bengal Crop Reports PNG/yetanothercalcgazpart11912_folder_11\yetanothercalcgazpart11912_page_1435.png,for,1100,778,1225,778,1225,831,1100,831
16,../Crop_Reports/Bengal Crop Reports PNG/yetanothercalcgazpart11912_folder_11\yetanothercalcgazpart11912_page_1435.png,the,1270,780,1377,780,1377,831,1270,831
17,../Crop_Reports/Bengal Crop Reports PNG/yetanothercalcgazpart11912_folder_11\yetanothercalcgazpart11912_page_1435.png,week,1422,780,1585,780,1585,831,1422,831
18,../Crop_Reports/Bengal Crop Reports PNG/yetanothercalcgazpart11912_folder_11\yetanothercalcgazpart11912_page_1435.png,enulmy,1628,776,1869,776,1869,845,1628,845
19,../Crop_Reports/Bengal Crop Reports PNG/yetanothercalcgazpart11912_folder_11\yetanothercalcgazpart11912_page_1435.png,on,1912,796,1993,796,1993,829,1912,829
20,../Crop_Reports/Bengal Crop Reports PNG/yetanothercalcgazpart11912_folder_11\yetanothercalcgazpart11912_page_1435.png,the,2042,776,2149,776,2149,829,2042,829
21,../Crop_Reports/Bengal Crop Reports PNG/yetanothercalcgazpart11912_folder_11\yetanothercalcgazpart11912_page_1435.png,18th,2192,774,2335,774,2335,831,2192,831
22,../Crop_Reports/Bengal Crop Reports PNG/yetanothercalcgazpart11912_folder_11\yetanothercalcgazpart11912_page_1435.png,november,2382,774,2749,774,2749,831,2382,831
23,../Crop_Reports/Bengal Crop Reports PNG/yetanothercalcgazpart11912_folder_11\yetanothercalcgazpart11912_page_1435.png,1912.,2788,778,2959,778,2959,835,2788,835
24,../Crop_Reports/Bengal Crop Reports PNG/yetanothercalcgazpart11912_folder_11\yetanothercalcgazpart11912_page_1435.png,summury.-throughout,480,934,1383,934,1383,1007,480,1007
25,../Crop_Reports/Bengal Crop Reports PNG/yetanothercalcgazpart11912_folder_11\yetanothercalcgazpart11912_page_1435.png,the,1424,934,1533,934,1533,989,1424,989
26,../Crop_Reports/Bengal Crop Reports PNG/yetanothercalcgazpart11912_folder_11\yetanothercalcgazpart11912_page_1435.png,week,1570,932,1745,932,1745,989,1570,989
27,../Crop_Reports/Bengal Crop Reports PNG/yetanothercalcgazpart11912_folder_11\yetanothercalcgazpart11912_page_1435.png,the,1782,934,1891,934,1891,987,1782,987
